frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
0,robot,,,,,0.0,0.0,0.0,0.0
1,robot,,,,,0.0,0.0,0.0,0.0
2,robot,,,,,0.0,0.0,0.0,0.0
3,robot,,,,,0.0,0.0,0.0,0.0
4,robot,,,,,0.0,0.0,0.0,0.0
5,robot,,,,,0.0,0.0,0.0,0.0
6,robot,,,,,0.0,0.0,0.0,0.0
7,robot,,,,,0.0,0.0,0.0,0.0
8,robot,,,,,0.0,0.0,0.0,0.0
9,robot,,,,,0.0,0.0,0.0,0.0
10,robot,,,,,0.0,0.0,0.0,0.0
11,robot,,,,,0.0,0.0,0.0,0.0
12,robot,,,,0.0,0.0,0.0,0.0,0.0
13,robot,,,,0.0,0.0,93.75,93.75,93.75
14,robot,,,,0.0,0.0,76.48529270389177,76.48529270389177,76.48529270389177
15,robot,,,,0.0,0.0,60.46693311223912,60.46693311223912,60.46693311223912
16,robot,,,,0.0,0.0,51.005514407757914,51.005514407757914,51.005514407757914
17,robot,,,,0.0,0.0,48.89401803901987,48.89401803901987,48.89401803901987
18,robot,,,,,0.0,0.0,0.0,0.0
19,robot,,,,0.0,0.0,55.36808647587525,55.36808647587525,55.36808647587525
20,robot,,,,,65.59820881700963,0.0,0.0,0.0
21,robot,,,,0.0,0.0,67.6040864149498,67.6040864149498,67.6040864149498
22,robot,,,,134.76739219855818,0.0,0.0,0.0,0.0
23,robot,108.85311203635844,108.85311203635844,108.85311203635844,0.0,56.25,0.0,0.0,0.0
24,robot,,,,130.61871994473074,0.0,0.0,52.09666496043677,26.048332480218384
25,robot,,,,129.91631922125873,0.0,0.0,56.25,28.125
26,robot,,,,0.0,0.0,39.86304679775494,39.86304679775494,39.86304679775494
27,robot,107.56393447619884,107.56393447619884,107.56393447619884,0.0,57.241265709276554,42.42640687119285,42.42640687119285,42.42640687119285
28,robot,105.65036677645752,105.65036677645752,105.65036677645752,0.0,55.36808647587525,27.300412084801945,27.300412084801945,27.300412084801945
29,robot,102.61578825892242,102.61578825892242,102.61578825892242,0.0,61.84658438426491,22.810359488618325,22.810359488618325,22.810359488618325
30,robot,100.42410069301094,100.42410069301094,100.42410069301094,0.0,0.0,35.57562367689427,35.57562367689427,35.57562367689427
31,robot,,,,119.870763741623,0.0,27.300412084801945,97.57208873443267,62.43625040961731
32,robot,98.2700361249552,98.2700361249552,98.2700361249552,0.0,108.75,35.57562367689427,35.57562367689427,35.57562367689427
33,robot,,,,117.67115194473112,0.0,43.73213921133976,95.60661587986472,69.66937754560223
34,robot,,,,118.29623831720096,0.0,26.516504294495533,74.71822066939228,50.61736248194391
35,robot,,,,117.2401381780148,0.0,33.75,60.46693311223912,47.10846655611956
36,robot,96.33794683301072,260.62233212063774,178.48013947682423,277.1394053540564,45.15597967047111,0.0,32.25871975140985,16.129359875704925
37,robot,100.84145972763385,257.2800031094527,179.06073141854327,277.5968299530814,50.451090176526414,0.0,34.573291714848324,17.286645857424162
38,robot,96.62815324738438,255.440795488896,176.0344743681402,276.9377186300198,43.892624665198596,0.0,45.15597967047111,22.577989835235556
39,robot,95.524865872714,253.4442739538615,174.48456991328777,276.0226439986401,42.75657844121767,0.0,35.37742924521226,17.68871462260613
40,robot,96.1873172512884,251.5094431626773,173.84838020698282,276.0226439986401,48.75,30.23346655611956,31.819805153394636,31.026635854757096
41,robot,94.0850678907126,94.0850678907126,94.0850678907126,0.0,21.213203435596427,32.04001404494074,32.04001404494074,32.04001404494074
42,robot,94.00531899844816,247.5843290678956,170.79482403317186,276.73678830253124,40.562451848969886,27.04163456597992,30.23346655611956,28.63755056104974
43,robot,94.00531899844816,246.6576574931336,170.3314882457909,277.85337860101686,34.573291714848324,27.04163456597992,37.5,32.27081728298996
44,robot,96.08329719571452,272.5912691191704,203.42446912390264,277.54504138968144,41.92627457812106,0.0,36.93321675673539,22.917673970043342
45,robot,97.18538984847466,274.83267636873165,204.16211978180908,277.341846824456,53.69182898728633,0.0,42.75657844121767,22.637447729363434
46,robot,95.42536350467836,272.98534759213726,202.6485590763704,278.5121182282739,50.03124024047376,0.0,30.23346655611956,19.09170037403316
47,robot,,,,278.0544011520048,0.0,0.0,23.717082451262847,14.637150159339079
48,robot,98.3107318658548,273.53427573157995,185.92250379871737,263.3723599772763,7.5,32.04001404494074,41.42010381445223,36.73005892969648
49,robot,,,,279.94642344563005,0.0,13.52081728298996,40.562451848969886,27.790568472203265
50,robot,,,,281.06271542130946,0.0,21.213203435596427,41.92627457812106,28.95218682166011
51,robot,96.317184344228,261.8434646883516,196.64690573355333,279.68643156220503,0.0,18.75,31.819805153394636,23.588057726716343
52,robot,93.86160024205851,261.23169792351007,195.04921319070516,279.8303057211638,0.0,8.385254915624213,33.54101966249685,21.881119009794634
