frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
0,robot,,,,1034.2035582998155,0.0,0.0,0.0,0.0
1,robot,,,,1033.8597583811838,0.0,0.0,0.0,0.0
2,robot,,,,1033.2185151263986,0.0,0.0,0.0,0.0
3,robot,,,,1034.1578699599013,0.0,0.0,0.0,0.0
4,robot,,,,1034.3293721054238,0.0,0.0,16.770509831248425,6.292226904136816
5,robot,,,,1034.5010874813038,0.0,0.0,22.5,9.064399801184518
6,robot,,,,1034.0315517429824,0.0,0.0,45.15597967047111,11.494066895313713
7,robot,,,,1033.5620445817465,0.0,0.0,42.75657844121767,10.049016518697604
8,robot,,,,1033.2647289054244,0.0,3.75,39.15114940841457,11.546061287324017
9,robot,,,,1033.688178320716,0.0,0.0,20.19436802675439,5.890256943452275
10,robot,,,,1033.986581150839,0.0,0.0,25.155764746872634,7.098413980578954
11,robot,,,,1034.2853813140744,0.0,0.0,24.011715890373182,7.515037691666012
12,robot,,,,1033.4739958025068,0.0,0.0,21.86606960566988,7.999556423868158
13,robot,,,,1033.3456585286456,0.0,0.0,24.011715890373182,7.2933508030729834
14,robot,,,,1033.174719009326,0.0,0.0,18.75,6.097619153649775
15,robot,,,,1031.765113773479,0.0,0.0,33.95769426801532,9.593060822120618
16,robot,,,,1031.466553020504,0.0,0.0,45.0,11.768676567029258
17,robot,,,,1031.2953020352609,0.0,0.0,18.75,8.386982144398887
18,robot,,,,1031.4234096625885,0.0,0.0,22.810359488618325,8.456765245017237
19,robot,,,,1030.312816575626,0.0,3.75,358.90458342016194,40.1109318857938
20,robot,,,,1030.7828335784411,0.0,0.0,500.1156116339501,53.278911784234566
21,robot,,,,1030.7828335784411,0.0,3.75,548.7314917152104,59.65756883435188
22,robot,,,,1031.0825621646406,0.0,3.75,562.8623832696586,58.681275033503624
23,robot,,,,1031.0825621646406,0.0,0.0,184.70415534037127,23.85090182611308
24,robot,,,,1031.7229521533386,0.0,0.0,453.9823785126467,48.59412922884166
25,robot,,,,1030.9124599111217,0.0,0.0,542.5590405660937,56.16821524366655
26,robot,,,,1031.5527131465458,0.0,0.0,571.6997682350413,56.36802059875108
27,robot,,,,1031.5527131465458,0.0,0.0,184.36122829922783,21.09245391328186
28,robot,,,,1032.83348125436,0.0,0.0,60.0,10.188528244558867
29,robot,,,,1032.022892187959,0.0,0.0,25.155764746872634,7.336623795184308
30,robot,,,,1031.7229521533386,0.0,0.0,13.52081728298996,5.483270434119227
31,robot,,,,1031.2528787838608,0.0,0.0,18.75,8.165060665779087
32,robot,,,,1031.1242650621698,0.0,3.75,40.562451848969886,10.609470620205647
33,robot,,,,1031.8934053476648,0.0,0.0,45.15597967047111,11.535779268452945
34,robot,,,,1032.5340188100342,0.0,0.0,39.86304679775494,10.159731346327284
35,robot,,,,1031.8934053476648,0.0,0.0,32.25871975140985,9.670369505948095
36,robot,,,,1032.0640726234003,0.0,3.75,15.909902576697318,9.169370161406022
37,robot,,,,1032.234953874359,0.0,3.75,15.461646096066227,7.651170526091085
38,robot,,,,1032.40604899429,0.0,0.0,27.04163456597992,6.934122530256798
39,robot,,,,1032.5773578768808,0.0,0.0,37.5,9.021422979516187
40,robot,,,,1032.7488804157572,0.0,3.75,36.93321675673539,10.30043322086354
41,robot,,,,1032.7488804157572,0.0,0.0,35.57562367689427,9.032825496646185
42,robot,,,,1032.7488804157572,0.0,0.0,33.95769426801532,8.020745827205795
43,robot,,,,1032.4510884298588,0.0,3.75,16.770509831248425,7.146830709489629
44,robot,,,,1032.4510884298588,0.0,0.0,11.858541225631424,4.71106769647526
45,robot,,,,1031.9815889830593,0.0,3.75,11.25,5.476532421220221
46,robot,,,,1032.4510884298588,0.0,0.0,10.606601717798213,3.913196135665594
47,robot,,,,1032.9206165044825,0.0,0.0,24.011715890373182,4.369546977206571
48,robot,,,,1033.2185151263986,0.0,0.0,32.04001404494074,8.330770217832852
49,robot,,,,1033.688178320716,0.0,0.0,22.810359488618325,8.733884177571744
50,robot,,,,1032.7488804157572,0.0,3.75,20.19436802675439,8.390433262346205
51,robot,,,,1032.5773578768808,0.0,3.75,30.0,8.480813966688833
52,robot,,,,1032.5773578768808,0.0,0.0,26.25,7.704929372553934
53,robot,,,,1032.7048222991891,0.0,0.0,26.25,9.476144752955571
54,robot,,,,1032.7048222991891,0.0,0.0,15.0,9.380305412661103
55,robot,,,,1033.0039932159025,0.0,0.0,15.0,9.270174586621744
56,robot,,,,1033.644643966194,0.0,0.0,582.3135431191688,58.15052705560409
57,robot,,,,1033.9440265314172,0.0,0.0,845.8806431760926,83.38668094311163
58,robot,,,,1033.9440265314172,0.0,0.0,933.5391328166163,82.68685850128209
59,robot,,,,1033.773669620193,0.0,0.0,965.3318729846229,86.33528349745423
60,robot,,,,1033.0943809739747,0.0,0.0,371.32574984775835,38.45939502894176
61,robot,,,,1032.323229419933,0.0,0.0,112.56248264852726,15.308522342832191
62,robot,,,,1031.6832120374936,0.0,0.0,37.5,10.11899221259639
63,robot,,,,1031.5136935591306,0.0,0.0,21.86606960566988,7.509920234664541
64,robot,,,,1031.0432823116594,0.0,0.0,30.23346655611956,9.4590422447669
65,robot,,,,1031.5136935591306,0.0,0.0,22.810359488618325,7.565336543219639
66,robot,,,,1030.7425721294333,0.0,0.0,20.19436802675439,7.0662304904840205
67,robot,,,,1030.7828335784411,0.0,0.0,15.909902576697318,6.968075179462449
68,robot,,,,1032.1930536483958,0.0,0.0,26.516504294495533,9.415676441299434
69,robot,,,,1031.0825621646406,0.0,0.0,22.810359488618325,10.525594070014881
70,robot,,,,1031.2528787838608,0.0,0.0,30.23346655611956,12.158617562867482
71,robot,,,,1031.4234096625885,0.0,0.0,22.810359488618325,9.786229026400433
72,robot,,,,1032.022892187959,0.0,0.0,21.213203435596427,7.194562675696663
73,robot,,,,1032.4545994860985,0.0,0.0,20.19436802675439,9.00872194362182
74,robot,,,,1032.323229419933,0.0,0.0,30.23346655611956,8.040177231494145
75,robot,,,,1032.4545994860985,0.0,0.0,27.300412084801945,8.886074262884081
76,robot,,,,1032.493099250547,0.0,0.0,30.923292192132454,10.843708320261172
77,robot,,,,1032.7935418078484,0.0,0.0,26.25,10.707902486977252
78,robot,,,,1031.3826884333478,0.0,3.75,23.717082451262847,12.522387367929861
79,robot,,,,1032.363429224418,0.0,5.303300858899107,56.25,15.774916271264175
80,robot,,,,1032.5340188100342,0.0,3.75,83.26351241690445,16.04761198546986
81,robot,,,,1032.5340188100342,0.0,0.0,92.61816776421351,14.711251419199694
82,robot,,,,1032.7048222991891,0.0,0.0,110.7361729517505,16.175588843489702
83,robot,,,,1032.7048222991891,0.0,0.0,27.300412084801945,6.174630798093624
84,robot,,,,1031.466553020504,0.0,0.0,30.23346655611956,9.453615577738846
85,robot,,,,1031.6380179113214,0.0,0.0,150.60814221017404,19.284998262971737
86,robot,,,,1031.466553020504,0.0,0.0,98.43303561305017,13.787278465462853
87,robot,,,,1031.6380179113214,0.0,0.0,33.54101966249685,9.0066644413395
88,robot,,,,1032.1076736465047,0.0,0.0,59.292706128157114,10.073455314439165
89,robot,,,,1031.168390710266,0.0,0.0,16.770509831248425,5.7926972053892385
90,robot,,,,1031.168390710266,0.0,0.0,16.770509831248425,5.663255467147645
91,robot,,,,1031.168390710266,0.0,0.0,13.52081728298996,5.079947754792773
92,robot,,,,1031.340147574989,0.0,0.0,37.68703357920334,7.92818860584492
93,robot,,,,1031.340147574989,0.0,0.0,52.63375817856825,8.077571264893583
94,robot,,,,1031.5121182031746,0.0,0.0,45.15597967047111,8.062223068618101
95,robot,,,,1030.8706271884944,0.0,0.0,26.25,8.448217275206897
96,robot,,,,1031.8096966010737,0.0,0.0,30.23346655611956,7.737864520535154
97,robot,,,,1031.8096966010737,0.0,0.0,15.0,5.457137731223173
98,robot,,,,1030.4011354807408,0.0,0.0,8.385254915624213,5.221313728906053
99,robot,,,,1030.6987920823426,0.0,0.0,26.25,7.612241750974203
100,robot,,,,1031.9362867929397,0.0,0.0,41.92627457812106,8.569681429568197
101,robot,,,,1032.7048222991891,0.0,0.0,15.0,5.135618250065681
102,robot,,,,1032.5340188100342,0.0,0.0,21.213203435596427,6.32292046001058
103,robot,,,,1033.174719009326,0.0,0.0,33.75,9.33604733434305
104,robot,,,,1032.7048222991891,0.0,0.0,87.54463147446565,14.07409724328834
105,robot,,,,1032.2792742276674,0.0,0.0,240.46829312822098,26.78785444622005
106,robot,,,,1033.3901731679086,0.0,0.0,210.0,22.593925962420553
107,robot,,,,1035.3145657238674,0.0,0.0,309.34658960460513,32.816620945969376
108,robot,,,,1037.0207326760635,0.0,0.0,247.21574585774263,28.09212846396881
109,robot,,,,1037.6620355395105,0.0,0.0,113.49559462816167,18.359845653724236
110,robot,,,,1038.4754450635796,0.0,0.0,120.05857945186591,17.883719454517045
111,robot,,,,1037.8339221667404,0.0,0.0,50.03124024047376,13.0018922445912
112,robot,,,,1038.3508559249133,0.0,0.0,99.28651721155295,16.236954581476162
113,robot,,,,1037.709015090454,0.0,0.0,133.84926223181063,16.066451973542787
114,robot,,,,1037.8339221667404,0.0,3.75,122.83754515619398,18.538888449742384
115,robot,,,,1037.0672591495693,0.0,3.75,48.89401803901987,14.540584588133424
116,robot,,,,1036.5979210860885,0.0,3.75,69.14658342969665,16.04144730222411
117,robot,,,,1036.2534680279723,0.0,3.75,114.29812990596129,19.123311208447525
118,robot,,,,1036.5511323615444,0.0,8.385254915624213,92.84563802354961,19.33765856729283
119,robot,,,,1036.208111336714,0.0,3.75,71.6436494045355,18.699488252633415
120,robot,,,,1035.738383956103,0.0,3.75,94.94241675879123,24.314032195727943
121,robot,,,,1035.9098657701836,0.0,3.75,105.06694294591425,25.121616491014386
122,robot,,,,1035.2686849315978,0.0,3.75,72.13269023126755,26.754591862213314
123,robot,,,,1035.2252170421662,0.0,0.0,61.84658438426491,19.99796302111052
124,robot,,,,1034.9262050987018,0.0,0.0,36.93321675673539,14.119995886784645
125,robot,,,,1035.3542871886898,0.0,0.0,508.799137676156,48.34897358256945
126,robot,,,,1035.8244301038667,0.0,0.0,662.944426403903,58.68284627463236
127,robot,,,,1036.1651654055931,0.0,0.0,765.4502351557546,68.13446504028953
128,robot,,,,1036.6351817298118,0.0,3.75,823.6523083194753,74.22604160891883
129,robot,,,,1036.4647847370406,0.0,3.75,302.45092577143816,39.961762422805855
130,robot,,,,1036.4647847370406,0.0,3.75,125.72290960680158,23.41149095118579
131,robot,,,,1035.3542871886898,0.0,3.75,90.07809112098235,19.51740733476387
132,robot,,,,1035.2252170421662,0.0,3.75,86.57547285461396,17.22251332678283
133,robot,,,,1034.4140853642702,0.0,0.0,94.64572098092972,17.846694845546118
134,robot,,,,1033.603526503272,0.0,0.0,66.76685180536822,20.641784397658647
135,robot,,,,1033.903888183036,0.0,0.0,57.118298293979315,18.877825079315674
136,robot,,,,1033.4335972862505,0.0,3.75,65.49093448714868,18.250482035246847
137,robot,,,,1034.2438058794455,0.0,0.0,35.37742924521226,12.801181422088801
138,robot,,,,1034.114597131285,0.0,0.0,30.0,10.23104057412998
139,robot,,,,1034.9262050987018,0.0,3.75,33.95769426801532,11.670539758306765
140,robot,,,,1036.0815604960835,0.0,0.0,45.62071897723665,15.188850297486152
141,robot,,,,1037.0207326760635,0.0,0.0,52.63375817856825,16.18107256904321
142,robot,,,,1036.722962029876,0.0,0.0,48.89401803901987,14.694085270834808
143,robot,,,,1036.722962029876,0.0,0.0,32.04001404494074,11.254172165941645
144,robot,,,,1036.0815604960835,0.0,3.75,30.23346655611956,14.926314511529183
145,robot,,,,1036.0815604960835,0.0,3.75,45.0,15.673798884328745
146,robot,,,,1036.8950043278248,0.0,0.0,45.15597967047111,17.37816927455757
147,robot,,,,1012.3539400822224,0.0,0.0,669.3303556540671,60.777061676207445
148,robot,,,,1013.2731615906936,0.0,0.0,890.65460477112,69.50101633211706
149,robot,,,,1014.36051283555,0.0,0.0,988.8985349872858,84.01522419448223
150,robot,,,,1017.040805474392,0.0,0.0,1131.6863799215753,117.95994954493544
151,robot,,,,1017.01573242502,0.0,0.0,938.9688493235545,78.33217005743651
152,robot,,,,1019.2767043349908,0.0,0.0,1099.3897454951998,95.22846927944993
153,robot,,,,1023.4726425264136,0.0,0.0,1144.0511898512234,167.38760156113034
154,robot,,,,1037.400597647794,0.0,3.75,717.6230295217679,136.0336152011635
155,robot,,,,1043.4276448321657,0.0,3.75,797.7017769818492,137.5919895451845
156,robot,,,,1044.3277742165053,0.0,0.0,835.0720403055057,140.48209844298253
157,robot,252.90709756746645,1191.256479520678,782.1569189586581,1044.7972291310884,0.0,0.0,300.1874414428425,67.20049031173299
158,robot,,,,1045.487087438195,0.0,0.0,351.1810430532947,65.87591848501079
159,robot,,,,1045.6600786106353,0.0,0.0,320.4001404494074,52.85674654576941
160,robot,,,,1045.833280212482,0.0,0.0,364.0591469802675,53.53300116214701
161,robot,,,,1045.1910112510536,0.0,3.75,173.96120257114802,38.07539059247879
162,robot,,,,1045.1417367993683,0.0,0.0,67.6040864149498,20.830233324012674
