frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
0,dog,,,,,0.0,0.0,0.0,0.0
1,dog,,,,,0.0,0.0,0.0,0.0
2,dog,,,,,0.0,0.0,0.0,0.0
3,dog,,,,,0.0,0.0,0.0,0.0
4,dog,,,,,197.89912202938143,0.0,0.0,0.0
5,dog,,,,,225.77989835235553,0.0,0.0,0.0
6,dog,,,,,232.62093628906234,0.0,0.0,0.0
7,dog,,,,,228.75,0.0,0.0,0.0
8,dog,,,,,226.55711200489824,0.0,0.0,0.0
9,dog,,,,,218.4354881881605,0.0,0.0,0.0
10,dog,,,,,230.2512214951313,0.0,0.0,0.0
11,dog,,,,,236.5177054683222,0.0,0.0,0.0
12,dog,,,,,228.78073564004464,0.0,0.0,0.0
13,dog,,,,,217.62927192820362,0.0,0.0,0.0
14,dog,,,,,195.03605435918766,0.0,0.0,0.0
15,dog,,,,,191.28676117285275,0.0,0.0,0.0
16,dog,,,,,189.88483351758245,0.0,0.0,0.0
17,dog,,,,,189.1799738344416,0.0,0.0,0.0
18,dog,,,,,191.21323175972944,0.0,0.0,0.0
19,dog,,,,,0.0,0.0,0.0,0.0
20,dog,715.1957773924564,715.1957773924564,715.1957773924564,0.0,170.77946305103552,0.0,0.0,0.0
21,dog,723.9426772887477,723.9426772887477,723.9426772887477,0.0,165.3830780339996,0.0,0.0,0.0
22,dog,730.9240726641858,730.9240726641858,730.9240726641858,0.0,142.5,0.0,0.0,0.0
23,dog,732.8471873453565,732.8471873453565,732.8471873453565,0.0,0.0,0.0,0.0,0.0
24,dog,739.9729724794007,739.9729724794007,739.9729724794007,0.0,127.72039774444802,59.292706128157114,59.292706128157114,59.292706128157114
25,dog,748.0247322114424,748.0247322114424,748.0247322114424,0.0,127.55513513771213,47.434164902525694,47.434164902525694,47.434164902525694
26,dog,751.0905404809729,751.0905404809729,751.0905404809729,0.0,128.87130208079685,27.04163456597992,27.04163456597992,27.04163456597992
27,dog,,,,0.0,0.0,27.300412084801945,27.300412084801945,27.300412084801945
28,dog,,,,0.0,0.0,26.516504294495533,26.516504294495533,26.516504294495533
29,dog,,,,0.0,0.0,23.717082451262847,23.717082451262847,23.717082451262847
30,dog,,,,0.0,0.0,37.68703357920334,37.68703357920334,37.68703357920334
31,dog,,,,0.0,0.0,37.68703357920334,37.68703357920334,37.68703357920334
32,dog,,,,0.0,0.0,27.04163456597992,27.04163456597992,27.04163456597992
33,dog,,,,0.0,0.0,61.84658438426491,61.84658438426491,61.84658438426491
34,dog,,,,0.0,0.0,61.0455772353739,61.0455772353739,61.0455772353739
35,dog,,,,0.0,0.0,60.46693311223912,60.46693311223912,60.46693311223912
36,dog,,,,0.0,0.0,90.07809112098235,90.07809112098235,90.07809112098235
37,dog,,,,0.0,0.0,60.117073282055244,60.117073282055244,60.117073282055244
38,dog,,,,0.0,0.0,56.25,56.25,56.25
39,dog,,,,0.0,0.0,51.005514407757914,51.005514407757914,51.005514407757914
40,dog,,,,0.0,0.0,13.52081728298996,13.52081728298996,13.52081728298996
41,dog,,,,0.0,0.0,34.573291714848324,34.573291714848324,34.573291714848324
42,dog,,,,0.0,0.0,57.36396952791883,57.36396952791883,57.36396952791883
