frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
44,dog,,,,,19.121323175972943,0.0,0.0,0.0
45,dog,,,,,13.52081728298996,0.0,0.0,0.0
46,dog,,,,,11.858541225631424,0.0,0.0,0.0
47,dog,,,,0.0,0.0,10.606601717798211,10.606601717798211,10.606601717798211
48,dog,169.0562036720333,169.0562036720333,169.0562036720333,0.0,0.0,3.75,3.75,3.75
49,dog,,,,,0.0,0.0,0.0,0.0
50,dog,174.54512310574592,174.54512310574592,174.54512310574592,0.0,0.0,18.75,18.75,18.75
51,dog,,,,,0.0,0.0,0.0,0.0
52,dog,,,,,159.0990257669732,0.0,0.0,0.0
53,dog,,,,,167.07502057459098,0.0,0.0,0.0
54,dog,194.74342094150447,194.74342094150447,194.74342094150447,0.0,210.83539195305892,15.461646096066229,15.461646096066229,15.461646096066229
55,dog,203.9607805437114,203.9607805437114,203.9607805437114,0.0,245.1593869302173,7.5,7.5,7.5
56,dog,117.90250209389112,216.3631207022121,167.13281139805162,254.93626654518968,266.67220046341544,0.0,8.385254915624213,4.192627457812106
57,dog,116.40017182117904,222.27235545609355,169.3362636386363,252.4004754353684,255.11027027542423,0.0,32.25871975140985,16.129359875704925
58,dog,115.5248890932166,226.0486673263083,170.78677820976247,251.4458192136032,221.25,0.0,26.516504294495533,13.258252147247768
59,dog,113.07077429645558,233.94443784796425,173.5076060722099,252.1051367981224,210.3011233921493,0.0,34.573291714848324,17.286645857424162
60,dog,113.07077429645558,240.85887984460945,176.9648270705325,252.8324544040974,195.32424964658128,41.92627457812106,60.0,50.963137289060526
61,dog,113.1370849898476,249.7558808116437,181.44648290074568,251.59540933808788,211.20191760493088,41.42010381445223,48.75,45.08505190722612
62,dog,116.70903992407786,257.13031715455105,186.91967853931445,250.71148757087292,228.78073564004464,45.15597967047111,47.434164902525694,46.2950722864984
63,dog,119.9208072020865,119.9208072020865,119.9208072020865,0.0,240.26352719462025,56.374861418898405,56.374861418898405,56.374861418898405
64,dog,124.78781991845196,124.78781991845196,124.78781991845196,0.0,251.9486554836124,56.747797314080834,56.747797314080834,56.747797314080834
65,dog,130.58713566044705,130.58713566044705,130.58713566044705,0.0,264.6607498289083,60.46693311223912,60.46693311223912,60.46693311223912
66,dog,136.34148304899725,136.34148304899725,136.34148304899725,0.0,271.66155414412253,67.91538853603063,67.91538853603063,67.91538853603063
67,dog,140.91131963046828,311.8413057951111,226.37631271278968,250.76134072061427,263.16879089284123,0.0,67.6040864149498,33.8020432074749
68,dog,146.2087548678259,321.62400407929755,233.91637947356173,252.2003172083652,255.02757203878957,0.0,60.0,30.0
69,dog,152.3056138164316,152.3056138164316,152.3056138164316,0.0,243.8653573183366,56.374861418898405,56.374861418898405,56.374861418898405
70,dog,157.69908052997647,157.69908052997647,157.69908052997647,0.0,236.72571153129945,56.374861418898405,56.374861418898405,56.374861418898405
71,dog,163.3799253274404,163.3799253274404,163.3799253274404,0.0,237.3190099844511,52.5,52.5,52.5
72,dog,169.42549985170473,169.42549985170473,169.42549985170473,0.0,247.61361028828767,56.374861418898405,56.374861418898405,56.374861418898405
73,dog,179.91386828146406,179.91386828146406,179.91386828146406,0.0,255.11027027542423,71.25,71.25,71.25
74,dog,188.403821617291,188.403821617291,188.403821617291,0.0,270.0260404109204,60.117073282055244,60.117073282055244,60.117073282055244
75,dog,201.45719148245863,201.45719148245863,201.45719148245863,0.0,297.10320176665886,71.6436494045355,71.6436494045355,71.6436494045355
76,dog,213.56029593536343,213.56029593536343,213.56029593536343,0.0,301.1462476937078,75.37406715840667,75.37406715840667,75.37406715840667
77,dog,,,,247.329739416836,0.0,61.84658438426491,301.892468438681,181.86952641147295
78,dog,,,,256.62521310268795,0.0,64.73503688112025,304.8821493626677,184.808593121894
79,dog,,,,265.6689669494727,0.0,58.21565511097509,285.3944638566067,171.8050594837909
