frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
0,dog,,,,201.57504805902937,0.0,0.0,0.0,0.0
1,dog,,,,205.56081825094972,0.0,0.0,0.0,0.0
2,dog,,,,209.07235589623036,0.0,0.0,0.0,0.0
3,dog,,,,208.5599434215497,0.0,0.0,0.0,0.0
4,dog,,,,211.04798032674935,0.0,15.0,56.747797314080834,32.30118735365116
5,dog,,,,212.54764171827452,0.0,18.75,33.95769426801532,25.47492557309272
6,dog,,,,212.00530653736004,0.0,19.121323175972943,30.0,25.212609156822825
7,dog,,,,207.0295872574739,0.0,15.461646096066227,45.15597967047111,29.306012617113094
8,dog,,,,212.11553455605272,0.0,10.606601717798213,19.121323175972943,16.15930829792372
9,dog,,,,216.5975530794381,0.0,15.461646096066227,30.0,21.40388203202208
10,dog,,,,223.0807028857494,0.0,26.516504294495533,67.6040864149498,47.184918537323675
11,dog,,,,224.58016386137044,0.0,16.770509831248425,119.17686436553028,62.68134638573849
12,dog,,,,320.5249600265165,0.0,0.0,94.94241675879123,32.477374802513516
13,dog,,,,327.0462505518142,0.0,0.0,67.6040864149498,32.111379540562154
14,dog,,,,325.0034615200275,0.0,0.0,30.23346655611956,17.87086663902989
15,dog,,,,324.0015432062014,0.0,0.0,46.987365323031256,22.752040141521785
16,dog,,,,329.50606974682574,0.0,15.909902576697318,59.292706128157114,39.52349360456209
17,dog,,,,329.0003799389904,0.0,7.5,33.54101966249685,23.333009831248425
18,dog,,,,327.5003816791669,0.0,7.5,165.55305040983086,55.07226325064129
19,dog,,,,337.5033333168726,0.0,30.0,233.2548231012598,95.62417356159231
20,dog,,,,345.0032608541548,0.0,20.19436802675439,273.8527204538965,110.17200182371869
21,dog,,,,354.00564967243105,0.0,39.15114940841457,154.1610359332085,90.77793514678977
22,dog,,,,333.50337329628314,0.0,34.573291714848324,41.92627457812106,39.572221917211344
23,dog,,,,325.00153845789714,0.0,20.19436802675439,113.06110073761002,51.46664231366178
