frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,dog,[],,,,
1,dog,[],,,,
2,dog,[],,,,
3,dog,[],,,,
4,dog,[],,,,
5,dog,[],,,,
6,dog,[],,,,
7,dog,[],,,,
8,dog,[],,,,
9,dog,[],,,,
10,dog,[],,,,
11,dog,[],,,,
12,dog,[],,,,
13,dog,[],,,,
14,dog,[],,,,
15,dog,[],,,,
16,dog,[],,,,
17,dog,[],,,,
18,dog,[],,,,
19,dog,[],,,,
20,dog,[],,,,
21,dog,[],,,,
22,dog,[],,,,
23,dog,[],,,,
24,dog,[],,,,
25,dog,[],,,,
26,dog,[],,,,
27,dog,[],,,,
28,dog,[],,,,
29,dog,[],,,,
30,dog,[],,,,
31,dog,[],,,,
32,dog,[],,,,
33,dog,[],,,,
34,dog,[],,,,
35,dog,[],,,,
36,dog,[],,,,
37,dog,[],,,,
38,dog,[],,,,
39,dog,[],,,,
40,dog,[],,,,
41,dog,[],,,,
42,dog,[],,,,
43,dog,[],,,,
44,dog,[],,,,
45,dog,[],,,,
46,dog,[],,,,
47,dog,[],,,,
48,dog,[],,,,
49,dog,[],,,,
50,dog,[],,,,
51,dog,[],,,,
52,dog,[],,,,
53,dog,[],,,,
54,dog,"[(21, 'dog', [1138, 489, 1212, 530])]",,,,
55,dog,"[(21, 'dog', [1130, 491, 1206, 531])]",,,,
56,dog,"[(21, 'dog', [1120, 491, 1195, 532])]",,,,
57,dog,"[(21, 'dog', [1111, 490, 1187, 533])]",,,,
58,dog,"[(21, 'dog', [1101, 488, 1176, 534])]",,,,
59,dog,"[(21, 'dog', [1092, 487, 1167, 536])]",,,,
60,dog,"[(21, 'dog', [1081, 485, 1158, 537])]",,,,
61,dog,"[(21, 'dog', [1073, 485, 1149, 538])]",,,,
62,dog,"[(21, 'dog', [1064, 487, 1140, 539])]",,,,
63,dog,"[(21, 'dog', [1053, 491, 1131, 540])]",,,,
64,dog,"[(21, 'dog', [1045, 495, 1125, 541])]",,,,
65,dog,"[(21, 'dog', [1037, 498, 1119, 541])]",,,,
66,dog,"[(21, 'dog', [1029, 499, 1112, 542])]",,,,
67,dog,"[(21, 'dog', [1022, 501, 1106, 543])]",,,,
68,dog,"[(21, 'dog', [1016, 501, 1101, 542])]",,,,
69,dog,"[(21, 'dog', [1011, 501, 1094, 542])]",,,,
70,dog,"[(21, 'dog', [1007, 500, 1090, 543])]",,,,
71,dog,"[(21, 'dog', [1005, 500, 1084, 543])]",,,,
72,dog,"[(21, 'dog', [1001, 500, 1078, 544])]",,,,
73,dog,"[(21, 'dog', [996, 499, 1071, 544])]",,,,
74,dog,"[(21, 'dog', [991, 500, 1067, 544])]",,,,
75,dog,"[(21, 'dog', [989, 501, 1061, 545])]",,,,
76,dog,"[(21, 'dog', [985, 501, 1057, 546])]",,,,
77,dog,"[(21, 'dog', [983, 501, 1054, 547])]",,,,
78,dog,"[(21, 'dog', [980, 502, 1049, 548])]",,,,
79,dog,"[(21, 'dog', [977, 503, 1046, 550])]",,,,
80,dog,"[(21, 'dog', [975, 503, 1041, 551])]",,,,
81,dog,"[(21, 'dog', [973, 503, 1036, 551])]",,,,
82,dog,"[(21, 'dog', [971, 502, 1032, 552])]",,,,
83,dog,"[(21, 'dog', [969, 502, 1030, 553])]",,,,
84,dog,"[(21, 'dog', [968, 502, 1028, 554])]",,,,
85,dog,"[(21, 'dog', [968, 502, 1026, 554])]",,,,
86,dog,"[(21, 'dog', [968, 501, 1024, 555])]",,,,
87,dog,"[(21, 'dog', [968, 501, 1022, 555])]",,,,
88,dog,"[(21, 'dog', [967, 501, 1019, 556])]",,,,
89,dog,"[(21, 'dog', [967, 502, 1015, 557])]",,,,
90,dog,"[(21, 'dog', [967, 502, 1013, 557])]",,,,
91,dog,"[(21, 'dog', [967, 502, 1010, 558])]",,,,
92,dog,"[(21, 'dog', [968, 502, 1007, 558])]",,,,
93,dog,"[(21, 'dog', [968, 502, 1006, 558])]",,,,
94,dog,"[(21, 'dog', [968, 503, 1006, 559])]",,,,
95,dog,"[(21, 'dog', [967, 503, 1005, 560])]",,,,
96,dog,"[(21, 'dog', [967, 504, 1005, 561])]",,,,
97,dog,"[(21, 'dog', [967, 504, 1004, 561])]",,,,
98,dog,"[(21, 'dog', [968, 504, 1003, 561])]",,,,
99,dog,"[(21, 'dog', [968, 504, 1002, 561])]",,,,
100,dog,"[(21, 'dog', [969, 504, 1001, 561])]",,,,
101,dog,"[(21, 'dog', [968, 504, 1000, 560])]",,,,
102,dog,"[(21, 'dog', [967, 504, 1000, 561])]",,,,
103,dog,"[(21, 'dog', [967, 504, 1000, 561])]",,,,
104,dog,"[(21, 'dog', [968, 504, 999, 562])]",,,,
105,dog,"[(21, 'dog', [967, 504, 998, 562])]",,,,
106,dog,"[(21, 'dog', [967, 505, 997, 561])]",,,,
107,dog,"[(21, 'dog', [966, 505, 997, 561])]",,,,
108,dog,"[(21, 'dog', [965, 504, 996, 560])]",,,,
109,dog,"[(21, 'dog', [964, 505, 996, 560])]",,,,
110,dog,"[(21, 'dog', [964, 505, 995, 560])]",,,,
111,dog,"[(21, 'dog', [963, 504, 995, 560])]",,,,
112,dog,"[(21, 'dog', [963, 504, 994, 559])]",,,,
113,dog,"[(21, 'dog', [961, 505, 994, 559])]",,,,
114,dog,"[(21, 'dog', [960, 505, 993, 560])]",,,,
115,dog,"[(21, 'dog', [958, 505, 993, 560])]",,,,
116,dog,"[(21, 'dog', [955, 506, 992, 560])]",,,,
117,dog,"[(21, 'dog', [953, 510, 992, 559])]",,,,
118,dog,[],,,,
119,dog,[],,,,
120,dog,[],,,,
121,dog,"[(21, 'dog', [950, 516, 999, 557])]",,,,
122,dog,"[(21, 'dog', [948, 514, 1003, 555])]",,,,
123,dog,"[(21, 'dog', [943, 509, 1005, 555])]",,,,
124,dog,"[(21, 'dog', [933, 505, 1007, 555])]",,,,
125,dog,"[(21, 'dog', [928, 503, 1009, 554])]",,,,
126,dog,"[(21, 'dog', [931, 502, 1010, 552])]",,,,
127,dog,"[(21, 'dog', [936, 502, 1012, 551])]",,,,
128,dog,"[(21, 'dog', [942, 502, 1014, 549])]",,,,
129,dog,"[(21, 'dog', [948, 502, 1016, 547])]",,,,
130,dog,"[(21, 'dog', [954, 501, 1017, 547])]",,,,
131,dog,"[(21, 'dog', [959, 501, 1017, 547])]",,,,
132,dog,"[(21, 'dog', [962, 500, 1017, 541])]",,,,
133,dog,"[(21, 'dog', [966, 498, 1014, 538])]",,,,
134,dog,"[(21, 'dog', [968, 495, 1012, 535])]",,,,
135,dog,"[(21, 'dog', [970, 492, 1008, 532])]",,,,
136,dog,"[(21, 'dog', [971, 488, 1006, 531])]",,,,
137,dog,"[(21, 'dog', [973, 485, 1004, 529])]",,,,
138,dog,[],,,,
139,dog,[],,,,
140,dog,[],,,,
141,dog,"[(21, 'dog', [973, 478, 997, 522])]",,,,
142,dog,[],,,,
143,dog,[],,,,
144,dog,"[(21, 'dog', [969, 477, 993, 515])]",,,,
145,dog,"[(21, 'dog', [967, 473, 993, 513])]",,,,
146,dog,"[(21, 'dog', [965, 469, 993, 513])]",,,,
147,dog,[],,,,
148,dog,[],,,,
149,dog,"[(21, 'dog', [960, 460, 998, 506])]",,,,
150,dog,[],,,,
151,dog,[],,,,
152,dog,"[(21, 'dog', [955, 455, 997, 502])]",,,,
153,dog,"[(21, 'dog', [954, 455, 994, 500])]",,,,
154,dog,"[(21, 'dog', [953, 455, 989, 498])]",,,,
155,dog,"[(21, 'dog', [952, 455, 986, 495])]",,,,
156,dog,"[(21, 'dog', [951, 454, 984, 492])]",,,,
157,dog,"[(21, 'dog', [951, 452, 981, 489])]",,,,
158,dog,"[(21, 'dog', [951, 449, 978, 487])]",,,,
159,dog,"[(21, 'dog', [950, 446, 976, 486])]",,,,
160,dog,[],,,,
161,dog,[],,,,
162,dog,"[(21, 'dog', [947, 438, 977, 480])]",,,,
163,dog,[],,,,
164,dog,"[(21, 'dog', [947, 436, 980, 478])]",,,,
165,dog,"[(21, 'dog', [947, 436, 982, 476])]",,,,
166,dog,"[(21, 'dog', [948, 436, 983, 472])]",,,,
167,dog,"[(21, 'dog', [948, 436, 983, 470])]",,,,
168,dog,"[(21, 'dog', [950, 434, 983, 469])]",,,,
169,dog,"[(21, 'dog', [953, 432, 985, 467])]",,,,
170,dog,"[(21, 'dog', [954, 431, 986, 466])]",,,,
171,dog,"[(21, 'dog', [955, 428, 988, 464])]",,,,
172,dog,[],,,,
173,dog,[],,,,
174,dog,"[(21, 'dog', [956, 421, 987, 462])]",,,,
175,dog,[],,,,
176,dog,[],,,,
177,dog,[],,,,
178,dog,"[(21, 'dog', [952, 421, 984, 465])]",,,,
179,dog,"[(21, 'dog', [953, 423, 985, 463])]",,,,
180,dog,"[(21, 'dog', [953, 424, 986, 465])]",,,,
181,dog,"[(21, 'dog', [953, 425, 989, 461])]",,,,
182,dog,"[(21, 'dog', [952, 423, 991, 457])]",,,,
183,dog,"[(21, 'dog', [951, 422, 993, 456])]",,,,
184,dog,"[(21, 'dog', [951, 420, 992, 455])]",,,,
185,dog,"[(21, 'dog', [951, 419, 992, 453])]",,,,
186,dog,"[(21, 'dog', [949, 416, 993, 455])]",,,,
187,dog,"[(21, 'dog', [950, 417, 993, 454])]",,,,
188,dog,"[(21, 'dog', [949, 418, 994, 454])]",,,,
189,dog,"[(21, 'dog', [948, 418, 994, 455])]",,,,
190,dog,"[(21, 'dog', [947, 421, 994, 455])]",,,,
191,dog,"[(21, 'dog', [946, 423, 993, 456])]",,,,
192,dog,"[(21, 'dog', [946, 425, 992, 457])]",,,,
193,dog,"[(21, 'dog', [945, 426, 990, 458])]",,,,
194,dog,"[(21, 'dog', [943, 427, 990, 458])]",,,,
195,dog,"[(21, 'dog', [940, 427, 989, 459])]",,,,
196,dog,[],,,,
197,dog,"[(21, 'dog', [936, 429, 984, 462])]",,,,
198,dog,"[(21, 'dog', [933, 430, 983, 463])]",,,,
199,dog,"[(21, 'dog', [929, 431, 982, 465])]",,,,
200,dog,"[(21, 'dog', [924, 431, 980, 467])]",,,,
201,dog,"[(21, 'dog', [919, 433, 981, 470])]",,,,
202,dog,"[(21, 'dog', [914, 438, 974, 472])]",,,,
203,dog,"[(21, 'dog', [910, 444, 969, 476])]",,,,
204,dog,"[(21, 'dog', [906, 448, 963, 477])]",,,,
205,dog,"[(21, 'dog', [901, 452, 956, 481])]",,,,
206,dog,"[(21, 'dog', [899, 453, 951, 483])]",,,,
207,dog,"[(21, 'dog', [897, 455, 948, 484])]",,,,
208,dog,"[(21, 'dog', [893, 455, 946, 486])]",,,,
209,dog,"[(21, 'dog', [890, 456, 943, 487])]",,,,
210,dog,"[(21, 'dog', [888, 456, 940, 490])]",,,,
211,dog,"[(21, 'dog', [885, 457, 941, 492])]",,,,
212,dog,"[(21, 'dog', [880, 458, 942, 494])]",,,,
213,dog,"[(21, 'dog', [878, 459, 937, 494])]",,,,
214,dog,"[(21, 'dog', [875, 462, 932, 496])]",,,,
215,dog,"[(21, 'dog', [874, 465, 929, 497])]",,,,
216,dog,"[(21, 'dog', [873, 467, 928, 498])]",,,,
217,dog,"[(21, 'dog', [872, 470, 926, 499])]",,,,
218,dog,"[(21, 'dog', [870, 472, 924, 500])]",,,,
219,dog,"[(21, 'dog', [868, 473, 922, 501])]",,,,
220,dog,"[(21, 'dog', [865, 474, 918, 503])]",,,,
221,dog,"[(21, 'dog', [863, 475, 915, 505])]",,,,
222,dog,"[(21, 'dog', [863, 476, 915, 506])]",,,,
223,dog,"[(21, 'dog', [864, 478, 914, 508])]",,,,
224,dog,"[(21, 'dog', [864, 478, 913, 509])]",,,,
225,dog,"[(21, 'dog', [865, 480, 911, 511])]",,,,
226,dog,"[(21, 'dog', [865, 480, 910, 511])]",,,,
227,dog,"[(21, 'dog', [865, 481, 908, 513])]",,,,
228,dog,"[(21, 'dog', [865, 482, 907, 515])]",,,,
229,dog,"[(21, 'dog', [866, 482, 906, 516])]",,,,
230,dog,"[(21, 'dog', [867, 483, 905, 518])]",,,,
231,dog,"[(21, 'dog', [868, 483, 904, 519])]",,,,
232,dog,"[(21, 'dog', [868, 483, 903, 520])]",,,,
233,dog,"[(21, 'dog', [869, 485, 903, 521])]",,,,
234,dog,"[(21, 'dog', [870, 486, 902, 521])]",,,,
235,dog,"[(21, 'dog', [871, 486, 902, 522])]",,,,
236,dog,"[(21, 'dog', [871, 488, 902, 523])]",,,,
237,dog,"[(21, 'dog', [872, 488, 902, 524])]",,,,
238,dog,"[(21, 'dog', [874, 488, 902, 525])]",,,,
239,dog,"[(21, 'dog', [875, 487, 903, 525])]",,,,
240,dog,"[(21, 'dog', [875, 487, 904, 526])]",,,,
241,dog,"[(21, 'dog', [876, 488, 904, 527])]",,,,
242,dog,"[(21, 'dog', [878, 490, 905, 527])]",,,,
243,dog,"[(21, 'dog', [879, 491, 906, 527])]",,,,
244,dog,"[(21, 'dog', [879, 491, 906, 528])]",,,,
245,dog,"[(21, 'dog', [878, 491, 907, 529])]",,,,
246,dog,"[(21, 'dog', [878, 490, 907, 529])]",,,,
247,dog,"[(21, 'dog', [878, 490, 907, 529])]",,,,
248,dog,"[(21, 'dog', [879, 490, 908, 529])]",,,,
249,dog,[],,,,
250,dog,[],,,,
