frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,robot,[],,,,
1,robot,[],,,,
2,robot,[],,,,
3,robot,[],,,,
4,robot,[],,,,
5,robot,[],,,,
6,robot,[],,,,
7,robot,[],,,,
8,robot,[],,,,
9,robot,[],,,,
10,robot,[],,,,
11,robot,[],,,,
12,robot,[],,,,
13,robot,[],,,,
14,robot,[],,,,
15,robot,[],,,,
16,robot,[],,,,
17,robot,[],,,,
18,robot,[],,,,
19,robot,[],,,,
20,robot,[],,,,
21,robot,[],,,,
22,robot,[],,,,
23,robot,[],,,,
24,robot,[],,,,
25,robot,[],,,,
26,robot,[],,,,
27,robot,[],,,,
28,robot,[],,,,
29,robot,[],,,,
30,robot,[],,,,
31,robot,[],,,,
32,robot,[],,,,
33,robot,[],,,,
34,robot,[],,,,
35,robot,[],,,,
36,robot,[],,,,
37,robot,[],,,,
38,robot,[],,,,
39,robot,[],,,,
40,robot,[],,,,
41,robot,[],,,,
42,robot,[],,,,
43,robot,[],,,,
44,robot,[],,,,
45,robot,[],,,,
46,robot,[],,,,
47,robot,[],,,,
48,robot,[],,,,
49,robot,[],,,,
50,robot,[],,,,
51,robot,[],,,,
52,robot,[],,,,
53,robot,[],,,,
54,robot,[],,,,
55,robot,[],,,,
56,robot,[],,,,
57,robot,[],,,,
58,robot,[],,,,
59,robot,[],,,,
60,robot,[],,,,
61,robot,[],,,,
62,robot,[],,,,
63,robot,[],,,,
64,robot,[],,,,
65,robot,[],,,,
66,robot,[],,,,
67,robot,[],,,,
68,robot,[],,,,
69,robot,[],,,,
70,robot,[],,,,
71,robot,[],,,,
72,robot,[],,,,
73,robot,[],,,,
74,robot,[],,,,
75,robot,[],,,,
76,robot,[],,,,
77,robot,[],,,,
78,robot,[],,,,
79,robot,[],,,,
80,robot,[],,,,
81,robot,[],,,,
82,robot,[],,,,
83,robot,[],,,,
84,robot,[],,,,
85,robot,[],,,,
86,robot,[],,,,
87,robot,[],,,,
88,robot,[],,,,
89,robot,[],,,,
90,robot,[],,,,
91,robot,[],,,,
92,robot,[],,,,
93,robot,[],,,,
94,robot,[],,,,
95,robot,[],,,,
96,robot,[],,,,
97,robot,[],,,,
98,robot,[],,,,
99,robot,[],,,,
100,robot,[],,,,
101,robot,[],,,,
102,robot,[],,,,
103,robot,[],,,,
104,robot,[],,,,
105,robot,[],,,,
106,robot,[],,,,
107,robot,[],,,,
108,robot,[],,,,
109,robot,[],,,,
110,robot,[],,,,
111,robot,[],,,,
112,robot,[],,,,
113,robot,[],,,,
114,robot,[],,,,
115,robot,[],,,,
116,robot,[],,,,
117,robot,[],,,,
118,robot,[],,,,
119,robot,[],,,,
120,robot,[],,,,
121,robot,[],,,,
122,robot,[],,,,
123,robot,[],,,,
124,robot,[],,,,
125,robot,[],,,,
126,robot,[],,,,
127,robot,[],,,,
128,robot,[],,,,
129,robot,[],,,,
130,robot,[],,,,
131,robot,[],,,,
132,robot,[],,,,
133,robot,[],,,,
134,robot,[],,,,
135,robot,[],,,,
136,robot,[],,,,
137,robot,[],,,,
138,robot,[],,,,
139,robot,[],,,,
140,robot,[],,,,
141,robot,[],,,,
142,robot,[],,,,
143,robot,[],,,,
144,robot,[],,,,
145,robot,[],,,,
146,robot,[],,,,
147,robot,[],,,,
148,robot,[],,,,
149,robot,[],,,,
150,robot,[],,,,
151,robot,[],,,,
152,robot,[],,,,
153,robot,[],,,,
154,robot,[],,,,
155,robot,[],,,,
156,robot,[],,,,
157,robot,[],,,,
158,robot,[],,,,
159,robot,[],,,,
160,robot,[],,,,
161,robot,[],,,,
162,robot,[],,,,
163,robot,[],,,,
164,robot,[],,,,
165,robot,[],,,,
166,robot,[],,,,
167,robot,[],,,,
168,robot,[],,,,
169,robot,[],,,,
170,robot,[],,,,
171,robot,[],,,,
172,robot,[],,,,
173,robot,[],,,,
174,robot,[],,,,
175,robot,[],,,,
176,robot,[],,,,
177,robot,[],,,,
178,robot,[],,,,
179,robot,[],,,,
180,robot,[],,,,
181,robot,[],,,,
182,robot,[],,,,
183,robot,[],,,,
184,robot,[],,,,
185,robot,[],,,,
186,robot,[],,,,
187,robot,[],,,,
188,robot,[],,,,
189,robot,[],,,,
190,robot,[],,,,
191,robot,[],,,,
192,robot,[],,,,
193,robot,[],,,,
194,robot,[],,,,
195,robot,[],,,,
196,robot,[],,,,
197,robot,[],,,,
198,robot,[],,,,
199,robot,[],,,,
200,robot,[],,,,
201,robot,[],,,,
202,robot,[],,,,
203,robot,[],,,,
204,robot,[],,,,
205,robot,[],,,,
206,robot,[],,,,
207,robot,[],,,,
208,robot,[],,,,
209,robot,[],,,,
210,robot,[],,,,
211,robot,[],,,,
212,robot,[],,,,
213,robot,[],,,,
214,robot,[],,,,
215,robot,[],,,,
216,robot,[],,,,
217,robot,[],,,,
218,robot,[],,,,
219,robot,[],,,,
220,robot,[],,,,
221,robot,[],,,,
222,robot,[],,,,
223,robot,[],,,,
224,robot,[],,,,
225,robot,[],,,,
226,robot,[],,,,
227,robot,[],,,,
228,robot,"[(2, 'sheep', [1129, 618, 1179, 648])]",,,,0
229,robot,"[(2, 'sheep', [1128, 617, 1178, 649])]",,,,0
230,robot,"[(2, 'sheep', [1128, 616, 1176, 650])]",,,,0
231,robot,"[(2, 'sheep', [1129, 617, 1174, 651])]",,,,0
232,robot,"[(2, 'sheep', [1129, 617, 1173, 651])]",,,,0
233,robot,"[(2, 'sheep', [1130, 618, 1173, 652])]",,,,0
234,robot,"[(2, 'sheep', [1131, 618, 1173, 652])]",,,,0
235,robot,"[(2, 'sheep', [1131, 619, 1173, 652])]",,,,0
236,robot,"[(2, 'sheep', [1131, 619, 1173, 653])]",,,,0
237,robot,"[(2, 'sheep', [1131, 620, 1174, 653])]",,,,0
238,robot,"[(2, 'sheep', [1131, 619, 1174, 653])]",,,,0
239,robot,"[(2, 'sheep', [1132, 620, 1174, 653])]",,,,0
240,robot,"[(2, 'sheep', [1132, 620, 1174, 652])]",,,,0
241,robot,"[(2, 'sheep', [1132, 620, 1173, 652])]",,,,0
242,robot,"[(2, 'sheep', [1132, 620, 1173, 652])]",,,,0
243,robot,"[(2, 'sheep', [1132, 620, 1172, 652])]",,,,0
244,robot,"[(2, 'sheep', [1132, 621, 1172, 652])]",,,,0
245,robot,"[(2, 'sheep', [1132, 621, 1172, 652])]",,,,0
246,robot,"[(2, 'sheep', [1132, 621, 1172, 652])]",,,,0
247,robot,"[(2, 'sheep', [1132, 621, 1172, 651])]",,,,0
248,robot,"[(2, 'sheep', [1132, 621, 1172, 651])]",,,,0
249,robot,"[(2, 'sheep', [1132, 621, 1172, 652])]",,,,0
250,robot,"[(2, 'sheep', [1131, 621, 1172, 652])]",,,,0
251,robot,"[(2, 'sheep', [1131, 621, 1172, 652])]",,,,0
252,robot,"[(2, 'sheep', [1131, 621, 1172, 653])]",,,,0
253,robot,"[(2, 'sheep', [1131, 622, 1173, 653])]",,,,0
254,robot,"[(2, 'sheep', [1131, 622, 1173, 652])]",,,,0
255,robot,"[(2, 'sheep', [1131, 622, 1174, 652])]",,,,0
256,robot,"[(2, 'sheep', [1131, 622, 1174, 652])]",,,,0
257,robot,"[(2, 'sheep', [1131, 622, 1174, 652])]",,,,0
258,robot,"[(2, 'sheep', [1132, 623, 1174, 652])]",,,,0
259,robot,"[(2, 'sheep', [1132, 624, 1174, 652])]",,,,0
260,robot,"[(2, 'sheep', [1132, 624, 1173, 652])]",,,,0
261,robot,"[(2, 'sheep', [1132, 623, 1173, 652])]",,,,0
262,robot,"[(2, 'sheep', [1132, 623, 1173, 652])]",,,,0
263,robot,"[(2, 'sheep', [1132, 623, 1173, 652])]",,,,0
264,robot,"[(2, 'sheep', [1132, 624, 1173, 653])]",,,,0
265,robot,"[(2, 'sheep', [1133, 623, 1173, 654])]",,,,0
266,robot,"[(2, 'sheep', [1132, 623, 1173, 654])]",,,,0
267,robot,"[(2, 'sheep', [1132, 623, 1173, 654])]",,,,0
268,robot,"[(2, 'sheep', [1132, 622, 1173, 654])]",,,,0
269,robot,"[(2, 'sheep', [1132, 622, 1173, 654])]",,,,0
270,robot,"[(2, 'sheep', [1133, 622, 1173, 653])]",,,,0
271,robot,"[(2, 'sheep', [1133, 622, 1173, 653])]",,,,0
272,robot,"[(2, 'sheep', [1133, 622, 1173, 653])]",,,,0
273,robot,"[(2, 'sheep', [1133, 622, 1173, 653])]",,,,0
274,robot,"[(2, 'sheep', [1133, 622, 1173, 654])]",,,,0
275,robot,"[(2, 'sheep', [1133, 622, 1173, 654])]",,,,0
276,robot,"[(2, 'sheep', [1134, 622, 1173, 654])]",,,,0
277,robot,"[(2, 'sheep', [1134, 622, 1173, 654])]",,,,0
278,robot,"[(2, 'sheep', [1134, 622, 1173, 654])]",,,,0
279,robot,"[(2, 'sheep', [1134, 622, 1173, 654])]",,,,0
280,robot,"[(2, 'sheep', [1134, 622, 1173, 653])]",,,,0
281,robot,"[(2, 'sheep', [1134, 622, 1173, 653])]",,,,0
282,robot,"[(2, 'sheep', [1134, 622, 1173, 654])]",,,,0
283,robot,"[(2, 'sheep', [1133, 622, 1173, 654])]",,,,0
284,robot,"[(2, 'sheep', [1133, 622, 1173, 654])]",,,,0
285,robot,"[(2, 'sheep', [1133, 622, 1173, 654])]",,,,0
286,robot,"[(2, 'sheep', [1132, 622, 1174, 654])]",,,,0
287,robot,"[(2, 'sheep', [1132, 622, 1175, 654])]",,,,0
288,robot,"[(2, 'sheep', [1132, 622, 1174, 653])]",,,,0
289,robot,"[(2, 'sheep', [1132, 622, 1174, 653])]",,,,0
290,robot,"[(2, 'sheep', [1132, 622, 1174, 653])]",,,,0
291,robot,"[(2, 'sheep', [1132, 622, 1174, 653])]",,,,0
292,robot,"[(2, 'sheep', [1132, 621, 1174, 653])]",,,,0
293,robot,"[(2, 'sheep', [1132, 621, 1174, 653])]",,,,0
294,robot,"[(2, 'sheep', [1131, 621, 1174, 653])]",,,,0
295,robot,"[(2, 'sheep', [1131, 621, 1174, 653])]",,,,0
296,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
297,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
298,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
299,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
300,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
301,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
302,robot,"[(2, 'sheep', [1132, 621, 1174, 653])]",,,,0
303,robot,"[(2, 'sheep', [1132, 621, 1174, 653])]",,,,0
304,robot,"[(2, 'sheep', [1132, 620, 1173, 653])]",,,,0
305,robot,"[(2, 'sheep', [1132, 620, 1173, 653])]",,,,0
306,robot,"[(2, 'sheep', [1131, 620, 1173, 653])]",,,,0
307,robot,"[(2, 'sheep', [1131, 620, 1172, 653])]",,,,0
308,robot,"[(2, 'sheep', [1131, 620, 1173, 653])]",,,,0
309,robot,"[(2, 'sheep', [1131, 621, 1173, 653])]",,,,0
