frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,robot,"[(1, 'sheep', [692, 518, 919, 807]), (2, 'sheep', [481, 785, 764, 1067]), (3, 'sheep', [944, 442, 1115, 666]), (4, 'sheep', [685, 476, 921, 663]), (5, 'sheep', [1152, 438, 1301, 612]), (6, 'sheep', [282, 620, 624, 883]), (7, 'sheep', [2, 807, 332, 1074]), (8, 'sheep', [371, 798, 637, 1076])]",,,,1138.059972057712
1,robot,"[(1, 'sheep', [699, 515, 923, 802]), (2, 'sheep', [483, 788, 765, 1067]), (3, 'sheep', [950, 437, 1127, 663]), (4, 'sheep', [699, 469, 929, 657]), (5, 'sheep', [1158, 429, 1310, 611]), (6, 'sheep', [355, 621, 644, 960]), (7, 'sheep', [24, 868, 321, 1076]), (8, 'sheep', [389, 791, 634, 1077])]",,,,1153.72711244904
2,robot,"[(1, 'sheep', [709, 515, 933, 801]), (2, 'sheep', [489, 792, 764, 1068]), (3, 'sheep', [964, 437, 1132, 653]), (4, 'sheep', [714, 500, 932, 648]), (5, 'sheep', [1165, 423, 1320, 609]), (6, 'sheep', [369, 618, 666, 966]), (8, 'sheep', [406, 790, 631, 1077])]",,,,835.7525052310642
3,robot,"[(1, 'sheep', [731, 517, 947, 800]), (2, 'sheep', [493, 792, 763, 1073]), (3, 'sheep', [986, 439, 1142, 648]), (4, 'sheep', [734, 476, 960, 698]), (5, 'sheep', [1175, 418, 1325, 609]), (6, 'sheep', [357, 610, 685, 943]), (8, 'sheep', [416, 782, 629, 1076]), (7, 'sheep', [84, 775, 385, 1046])]",,,,1090.3436384920124
4,robot,"[(1, 'sheep', [742, 513, 966, 797]), (2, 'sheep', [497, 794, 763, 1075]), (3, 'sheep', [1010, 439, 1152, 642]), (4, 'sheep', [754, 470, 977, 673]), (5, 'sheep', [1177, 417, 1329, 610]), (6, 'sheep', [389, 598, 704, 845]), (8, 'sheep', [422, 777, 625, 1076]), (9, 'sheep', [1109, 407, 1277, 612]), (10, 'sheep', [1365, 343, 1428, 481]), (7, 'sheep', [109, 749, 406, 1041])]",,,,1237.1782409984423
5,robot,"[(1, 'sheep', [756, 507, 978, 778]), (2, 'sheep', [512, 789, 761, 1074]), (3, 'sheep', [1029, 431, 1161, 628]), (4, 'sheep', [771, 461, 994, 650]), (5, 'sheep', [1181, 414, 1333, 611]), (6, 'sheep', [421, 584, 725, 807]), (8, 'sheep', [426, 771, 625, 1076]), (9, 'sheep', [1118, 396, 1284, 608]), (10, 'sheep', [1368, 335, 1431, 482]), (7, 'sheep', [131, 728, 421, 1049]), (11, 'sheep', [243, 886, 443, 1077]), (12, 'sheep', [1, 851, 174, 1076])]",,,,1424.5592300778512
6,robot,"[(1, 'sheep', [780, 507, 990, 771]), (2, 'sheep', [529, 782, 761, 1075]), (3, 'sheep', [1043, 426, 1173, 612]), (4, 'sheep', [790, 454, 1005, 628]), (5, 'sheep', [1186, 413, 1341, 608]), (6, 'sheep', [453, 572, 743, 806]), (8, 'sheep', [433, 764, 623, 1077]), (9, 'sheep', [1126, 388, 1289, 591]), (10, 'sheep', [1370, 337, 1433, 479]), (7, 'sheep', [149, 711, 441, 1048]), (11, 'sheep', [251, 890, 451, 1079]), (12, 'sheep', [0, 839, 196, 1076])]",,,,1414.5891629727694
7,robot,"[(1, 'sheep', [799, 508, 1006, 767]), (2, 'sheep', [546, 745, 762, 1074]), (3, 'sheep', [1054, 418, 1181, 599]), (4, 'sheep', [809, 451, 1015, 605]), (5, 'sheep', [1187, 415, 1349, 605]), (6, 'sheep', [478, 563, 761, 782]), (8, 'sheep', [438, 752, 625, 1076]), (9, 'sheep', [1130, 387, 1297, 582]), (10, 'sheep', [1371, 348, 1436, 478]), (7, 'sheep', [182, 700, 464, 1052]), (11, 'sheep', [255, 888, 462, 1078]), (12, 'sheep', [0, 829, 224, 1075])]",,,,1399.4617715393301
8,robot,"[(1, 'sheep', [814, 509, 1019, 766]), (2, 'sheep', [562, 759, 762, 1074]), (3, 'sheep', [1065, 411, 1185, 589]), (4, 'sheep', [827, 448, 1026, 590]), (5, 'sheep', [1205, 418, 1363, 591]), (6, 'sheep', [494, 555, 780, 774]), (8, 'sheep', [444, 743, 626, 1075]), (9, 'sheep', [1137, 387, 1309, 579]), (10, 'sheep', [1373, 346, 1438, 477]), (7, 'sheep', [196, 694, 488, 1050]), (11, 'sheep', [253, 885, 470, 1079]), (12, 'sheep', [0, 822, 250, 1073])]",,,,1388.15570092119
9,robot,"[(1, 'sheep', [827, 506, 1029, 762]), (2, 'sheep', [572, 765, 763, 1071]), (3, 'sheep', [1075, 403, 1191, 583]), (4, 'sheep', [846, 444, 1041, 575]), (5, 'sheep', [1216, 420, 1372, 583]), (6, 'sheep', [509, 550, 799, 768]), (8, 'sheep', [448, 741, 636, 1076]), (9, 'sheep', [1150, 397, 1310, 568]), (10, 'sheep', [1378, 336, 1448, 475]), (7, 'sheep', [217, 692, 512, 1038]), (11, 'sheep', [252, 882, 475, 1079]), (12, 'sheep', [0, 814, 276, 1072]), (14, 'sheep', [0, 791, 158, 1026])]",,,,1425.680539251343
10,robot,"[(1, 'sheep', [843, 503, 1038, 744]), (2, 'sheep', [580, 770, 763, 1070]), (3, 'sheep', [1085, 398, 1201, 582]), (4, 'sheep', [865, 438, 1053, 571]), (5, 'sheep', [1233, 420, 1377, 576]), (6, 'sheep', [534, 547, 818, 757]), (8, 'sheep', [449, 739, 636, 1076]), (9, 'sheep', [1151, 402, 1313, 574]), (10, 'sheep', [1379, 329, 1447, 475]), (7, 'sheep', [230, 694, 531, 1042]), (11, 'sheep', [249, 880, 480, 1077]), (12, 'sheep', [0, 804, 300, 1071]), (14, 'sheep', [0, 785, 184, 1032])]",,,,1414.773215041902
11,robot,"[(1, 'sheep', [857, 500, 1044, 725]), (2, 'sheep', [595, 762, 763, 1067]), (3, 'sheep', [1093, 396, 1205, 581]), (4, 'sheep', [878, 433, 1068, 582]), (5, 'sheep', [1244, 416, 1378, 572]), (6, 'sheep', [560, 542, 839, 752]), (8, 'sheep', [454, 736, 638, 1075]), (9, 'sheep', [1157, 401, 1319, 572]), (10, 'sheep', [1379, 322, 1445, 472]), (7, 'sheep', [229, 693, 575, 1052]), (11, 'sheep', [331, 874, 493, 1075]), (12, 'sheep', [0, 789, 324, 1070]), (14, 'sheep', [0, 779, 217, 1040])]",,,,1400.6314647329611
