frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,robot,"[(1, 'sheep', [991, 773, 1166, 1065]), (2, 'sheep', [816, 682, 1040, 875]), (3, 'sheep', [654, 835, 966, 1018]), (4, 'sheep', [534, 878, 866, 1077]), (5, 'sheep', [1246, 818, 1520, 1078]), (6, 'sheep', [303, 757, 547, 988]), (7, 'sheep', [1200, 661, 1421, 877]), (8, 'sheep', [1138, 884, 1337, 1078]), (9, 'sheep', [1315, 641, 1593, 781]), (10, 'sheep', [938, 568, 1174, 701]), (11, 'sheep', [539, 569, 776, 682]), (12, 'sheep', [1027, 537, 1266, 626]), (13, 'sheep', [1423, 715, 1613, 920]), (14, 'sheep', [795, 512, 1000, 667]), (15, 'sheep', [128, 532, 351, 767]), (16, 'sheep', [1381, 573, 1583, 673])]",,,,1289.4906940338888
1,robot,"[(1, 'sheep', [990, 773, 1165, 1065]), (2, 'sheep', [815, 682, 1040, 875]), (3, 'sheep', [654, 835, 965, 1018]), (4, 'sheep', [533, 878, 866, 1078]), (5, 'sheep', [1250, 818, 1521, 1078]), (6, 'sheep', [303, 757, 548, 988]), (7, 'sheep', [1200, 660, 1423, 876]), (8, 'sheep', [1137, 883, 1336, 1077]), (9, 'sheep', [1315, 640, 1593, 780]), (10, 'sheep', [938, 568, 1174, 700]), (11, 'sheep', [539, 569, 775, 683]), (12, 'sheep', [1026, 538, 1266, 626]), (13, 'sheep', [1422, 715, 1609, 924]), (14, 'sheep', [796, 512, 999, 667]), (15, 'sheep', [128, 533, 351, 767]), (16, 'sheep', [1380, 572, 1584, 673])]",,,,1287.2087049115228
2,robot,"[(1, 'sheep', [990, 773, 1165, 1065]), (2, 'sheep', [815, 682, 1040, 875]), (3, 'sheep', [654, 835, 965, 1018]), (4, 'sheep', [533, 877, 866, 1077]), (5, 'sheep', [1253, 818, 1520, 1078]), (6, 'sheep', [303, 757, 548, 988]), (7, 'sheep', [1200, 660, 1425, 877]), (8, 'sheep', [1137, 884, 1337, 1077]), (9, 'sheep', [1315, 640, 1594, 779]), (10, 'sheep', [938, 568, 1174, 701]), (11, 'sheep', [539, 570, 775, 683]), (12, 'sheep', [1026, 538, 1266, 626]), (13, 'sheep', [1423, 715, 1607, 904]), (14, 'sheep', [797, 511, 999, 668]), (15, 'sheep', [128, 533, 352, 767]), (16, 'sheep', [1380, 572, 1584, 672])]",,,,1284.9378389634262
3,robot,"[(1, 'sheep', [990, 773, 1165, 1064]), (2, 'sheep', [815, 682, 1039, 876]), (3, 'sheep', [654, 834, 964, 1018]), (4, 'sheep', [531, 878, 863, 1077]), (5, 'sheep', [1255, 818, 1519, 1078]), (6, 'sheep', [303, 757, 548, 987]), (7, 'sheep', [1200, 660, 1426, 878]), (8, 'sheep', [1137, 884, 1338, 1077]), (9, 'sheep', [1315, 640, 1593, 778]), (10, 'sheep', [939, 569, 1174, 701]), (11, 'sheep', [539, 570, 774, 684]), (12, 'sheep', [1026, 539, 1266, 626]), (13, 'sheep', [1422, 715, 1605, 902]), (14, 'sheep', [800, 512, 999, 668]), (15, 'sheep', [128, 533, 351, 767]), (16, 'sheep', [1381, 573, 1584, 672]), (17, 'sheep', [1121, 723, 1288, 920])]",,,,1283.8217360677454
4,robot,"[(1, 'sheep', [991, 773, 1165, 1063]), (2, 'sheep', [815, 682, 1038, 876]), (3, 'sheep', [654, 835, 963, 1018]), (4, 'sheep', [532, 879, 862, 1077]), (5, 'sheep', [1256, 818, 1518, 1078]), (6, 'sheep', [304, 757, 548, 987]), (7, 'sheep', [1200, 659, 1427, 878]), (8, 'sheep', [1137, 884, 1339, 1077]), (9, 'sheep', [1315, 640, 1593, 778]), (10, 'sheep', [939, 569, 1174, 701]), (11, 'sheep', [539, 571, 774, 684]), (12, 'sheep', [1026, 539, 1266, 626]), (13, 'sheep', [1419, 715, 1607, 899]), (14, 'sheep', [799, 512, 999, 668]), (15, 'sheep', [128, 532, 351, 767]), (16, 'sheep', [1383, 572, 1584, 672]), (17, 'sheep', [1121, 724, 1287, 916]), (18, 'sheep', [1102, 604, 1249, 800]), (19, 'sheep', [1526, 672, 1740, 862])]",,,,1398.4450293093398
5,robot,"[(1, 'sheep', [991, 773, 1165, 1062]), (2, 'sheep', [814, 682, 1039, 876]), (3, 'sheep', [653, 834, 963, 1019]), (4, 'sheep', [531, 879, 861, 1077]), (5, 'sheep', [1257, 818, 1517, 1077]), (6, 'sheep', [304, 757, 548, 987]), (7, 'sheep', [1200, 660, 1425, 879]), (8, 'sheep', [1137, 883, 1339, 1078]), (9, 'sheep', [1315, 640, 1593, 778]), (10, 'sheep', [940, 571, 1174, 701]), (11, 'sheep', [539, 572, 773, 685]), (12, 'sheep', [1026, 540, 1265, 625]), (13, 'sheep', [1419, 715, 1607, 916]), (14, 'sheep', [807, 513, 1001, 668]), (15, 'sheep', [128, 532, 351, 767]), (16, 'sheep', [1382, 572, 1584, 672]), (17, 'sheep', [1125, 724, 1287, 906]), (18, 'sheep', [1102, 604, 1248, 800]), (19, 'sheep', [1526, 672, 1741, 863])]",,,,1398.985346599456
6,robot,"[(1, 'sheep', [990, 773, 1165, 1062]), (2, 'sheep', [814, 682, 1039, 877]), (3, 'sheep', [653, 834, 963, 1019]), (4, 'sheep', [532, 879, 861, 1077]), (5, 'sheep', [1257, 818, 1516, 1077]), (6, 'sheep', [304, 757, 549, 987]), (7, 'sheep', [1200, 660, 1422, 880]), (8, 'sheep', [1137, 883, 1340, 1078]), (9, 'sheep', [1314, 639, 1593, 779]), (10, 'sheep', [940, 572, 1174, 701]), (11, 'sheep', [539, 572, 773, 684]), (12, 'sheep', [1026, 540, 1265, 625]), (13, 'sheep', [1416, 715, 1606, 909]), (14, 'sheep', [807, 514, 1001, 668]), (15, 'sheep', [128, 533, 350, 767]), (16, 'sheep', [1382, 572, 1584, 672]), (17, 'sheep', [1127, 725, 1287, 899]), (18, 'sheep', [1103, 605, 1248, 799]), (19, 'sheep', [1525, 673, 1740, 864])]",,,,1398.5294061978104
7,robot,"[(1, 'sheep', [990, 773, 1165, 1062]), (2, 'sheep', [814, 682, 1039, 878]), (3, 'sheep', [652, 834, 963, 1020]), (4, 'sheep', [530, 879, 861, 1077]), (5, 'sheep', [1258, 818, 1515, 1077]), (6, 'sheep', [303, 757, 549, 987]), (7, 'sheep', [1199, 660, 1420, 880]), (8, 'sheep', [1137, 883, 1341, 1078]), (9, 'sheep', [1314, 639, 1593, 780]), (10, 'sheep', [943, 574, 1174, 701]), (11, 'sheep', [539, 573, 773, 684]), (12, 'sheep', [1026, 540, 1264, 625]), (13, 'sheep', [1418, 715, 1603, 904]), (14, 'sheep', [815, 513, 1002, 668]), (15, 'sheep', [128, 532, 351, 766]), (16, 'sheep', [1383, 572, 1584, 672]), (17, 'sheep', [1125, 725, 1287, 898]), (18, 'sheep', [1103, 603, 1248, 799]), (19, 'sheep', [1525, 673, 1745, 864]), (20, 'sheep', [684, 535, 838, 673])]",,,,1400.6071897573565
8,robot,"[(1, 'sheep', [990, 773, 1165, 1062]), (2, 'sheep', [814, 682, 1039, 878]), (3, 'sheep', [652, 834, 962, 1021]), (4, 'sheep', [530, 879, 860, 1077]), (5, 'sheep', [1258, 818, 1514, 1077]), (6, 'sheep', [303, 756, 549, 988]), (7, 'sheep', [1199, 660, 1418, 880]), (8, 'sheep', [1136, 883, 1342, 1078]), (9, 'sheep', [1313, 639, 1592, 781]), (10, 'sheep', [944, 573, 1174, 700]), (11, 'sheep', [539, 573, 771, 683]), (12, 'sheep', [1026, 540, 1263, 625]), (13, 'sheep', [1423, 714, 1599, 901]), (14, 'sheep', [822, 515, 1002, 668]), (15, 'sheep', [127, 532, 351, 766]), (16, 'sheep', [1383, 571, 1584, 673]), (17, 'sheep', [1124, 725, 1287, 902]), (18, 'sheep', [1102, 603, 1249, 799]), (19, 'sheep', [1524, 674, 1747, 865]), (20, 'sheep', [685, 535, 840, 673])]",,,,1401.6891595500051
9,robot,"[(1, 'sheep', [989, 772, 1165, 1064]), (2, 'sheep', [814, 682, 1038, 878]), (3, 'sheep', [652, 834, 961, 1022]), (4, 'sheep', [530, 878, 859, 1077]), (5, 'sheep', [1258, 818, 1514, 1078]), (6, 'sheep', [302, 756, 549, 988]), (7, 'sheep', [1198, 660, 1418, 880]), (8, 'sheep', [1136, 883, 1342, 1078]), (9, 'sheep', [1312, 641, 1592, 782]), (10, 'sheep', [944, 574, 1175, 700]), (11, 'sheep', [540, 574, 771, 683]), (12, 'sheep', [1026, 540, 1263, 624]), (13, 'sheep', [1421, 715, 1596, 904]), (14, 'sheep', [824, 515, 1002, 668]), (15, 'sheep', [127, 531, 351, 766]), (16, 'sheep', [1383, 570, 1584, 673]), (17, 'sheep', [1127, 725, 1287, 900]), (18, 'sheep', [1102, 603, 1249, 799]), (19, 'sheep', [1523, 673, 1745, 864]), (20, 'sheep', [685, 534, 841, 673])]",,,,1400.151777486998
