frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,dog,"[(2, 'dog', [471, 706, 552, 755]), (3, 'dog', [354, 683, 412, 718])]",,,,
1,dog,"[(2, 'dog', [471, 707, 556, 755]), (3, 'dog', [357, 683, 414, 716])]",,,,
2,dog,"[(2, 'dog', [472, 707, 559, 757]), (3, 'dog', [358, 683, 414, 716])]",,,,
3,dog,"[(2, 'dog', [472, 707, 560, 758]), (3, 'dog', [358, 683, 416, 717])]",,,,
4,dog,"[(2, 'dog', [474, 707, 564, 759]), (3, 'dog', [361, 682, 418, 718])]",,,,
5,dog,"[(2, 'dog', [476, 707, 569, 760]), (3, 'dog', [362, 682, 420, 719])]",,,,
6,dog,"[(2, 'dog', [475, 703, 573, 762]), (3, 'dog', [363, 683, 421, 718])]",,,,
7,dog,"[(2, 'dog', [485, 701, 575, 761]), (3, 'dog', [362, 683, 424, 720])]",,,,
8,dog,"[(2, 'dog', [488, 699, 577, 761]), (3, 'dog', [362, 684, 425, 720])]",,,,
9,dog,"[(2, 'dog', [488, 697, 580, 763]), (3, 'sheep', [361, 684, 426, 720])]",127.66362050325849,127.66362050325849,127.66362050325849,0
10,dog,"[(2, 'dog', [490, 699, 582, 763]), (3, 'dog', [362, 683, 427, 721])]",,,,
11,dog,"[(2, 'dog', [492, 698, 584, 763]), (3, 'dog', [363, 683, 428, 721])]",,,,
12,dog,"[(2, 'dog', [493, 699, 589, 762]), (3, 'dog', [366, 683, 430, 721])]",,,,
13,dog,"[(2, 'dog', [496, 699, 592, 763]), (3, 'dog', [368, 684, 431, 720])]",,,,
14,dog,"[(2, 'dog', [499, 701, 593, 766]), (3, 'dog', [371, 686, 432, 717])]",,,,
15,dog,"[(2, 'dog', [504, 702, 594, 765]), (3, 'dog', [376, 687, 434, 719])]",,,,
16,dog,"[(2, 'dog', [510, 698, 597, 765]), (3, 'dog', [379, 687, 435, 719])]",,,,
17,dog,"[(2, 'dog', [517, 694, 599, 764]), (3, 'sheep', [381, 687, 436, 717])]",136.1800279042415,136.1800279042415,136.1800279042415,0
18,dog,"[(2, 'dog', [520, 692, 602, 764]), (3, 'dog', [382, 686, 437, 717])]",,,,
19,dog,"[(2, 'dog', [521, 703, 604, 764]), (3, 'dog', [383, 686, 439, 716])]",,,,
20,dog,"[(2, 'dog', [520, 713, 602, 763]), (3, 'dog', [383, 687, 441, 719])]",,,,
21,dog,"[(2, 'dog', [519, 715, 607, 764]), (3, 'dog', [382, 688, 442, 719])]",,,,
22,dog,"[(2, 'dog', [526, 717, 614, 763]), (3, 'sheep', [381, 689, 444, 717])]",147.6787053031005,147.6787053031005,147.6787053031005,0
23,dog,"[(2, 'dog', [527, 716, 620, 765]), (3, 'dog', [383, 688, 445, 717])]",,,,
24,dog,"[(2, 'dog', [531, 717, 621, 766]), (3, 'dog', [387, 688, 446, 718])]",,,,
25,dog,"[(2, 'dog', [533, 716, 620, 765]), (3, 'sheep', [390, 687, 447, 716])]",145.91093173576817,145.91093173576817,145.91093173576817,0
26,dog,"[(2, 'dog', [534, 716, 618, 766]), (3, 'dog', [391, 687, 448, 718])]",,,,
27,dog,"[(2, 'dog', [536, 716, 621, 763]), (3, 'dog', [393, 688, 450, 718])]",,,,
28,dog,"[(2, 'dog', [541, 715, 615, 760]), (3, 'sheep', [395, 688, 450, 716])]",148.47558721890948,148.47558721890948,148.47558721890948,0
29,dog,"[(2, 'dog', [548, 717, 616, 762]), (3, 'sheep', [398, 688, 452, 718])]",152.7776161615307,152.7776161615307,152.7776161615307,0
30,dog,"[(2, 'dog', [553, 717, 617, 762]), (3, 'sheep', [401, 688, 453, 717])]",154.74172029546526,154.74172029546526,154.74172029546526,0
31,dog,"[(2, 'dog', [555, 717, 620, 763]), (3, 'dog', [402, 688, 454, 719])]",,,,
32,dog,"[(2, 'dog', [554, 718, 623, 763]), (3, 'dog', [403, 688, 455, 720])]",,,,
33,dog,"[(2, 'dog', [554, 718, 624, 763]), (3, 'dog', [404, 688, 456, 719])]",,,,
34,dog,"[(2, 'dog', [553, 718, 624, 762]), (3, 'dog', [405, 688, 456, 720])]",,,,
35,dog,"[(2, 'dog', [551, 718, 625, 763]), (3, 'dog', [406, 688, 457, 719])]",,,,
36,dog,"[(2, 'dog', [547, 718, 626, 762]), (3, 'dog', [408, 687, 459, 721])]",,,,
37,dog,"[(2, 'dog', [549, 718, 627, 762]), (3, 'dog', [408, 686, 460, 720])]",,,,
38,dog,"[(2, 'dog', [553, 717, 628, 763]), (3, 'dog', [409, 686, 461, 721])]",,,,
39,dog,"[(2, 'dog', [557, 717, 628, 763]), (3, 'dog', [412, 685, 462, 720])]",,,,
40,dog,"[(2, 'dog', [563, 719, 631, 763]), (3, 'sheep', [414, 684, 463, 719])]",153.05554547287727,153.05554547287727,153.05554547287727,0
41,dog,"[(2, 'dog', [567, 720, 634, 763]), (3, 'sheep', [416, 684, 463, 719])]",155.23208431248997,155.23208431248997,155.23208431248997,0
42,dog,"[(2, 'dog', [571, 722, 637, 763]), (3, 'sheep', [416, 684, 464, 719])]",159.5900999435742,159.5900999435742,159.5900999435742,0
43,dog,"[(3, 'sheep', [416, 684, 464, 719])]",,,,0
44,dog,"[(3, 'dog', [417, 684, 465, 718])]",,,,
45,dog,"[(3, 'dog', [416, 684, 466, 717])]",,,,
46,dog,"[(3, 'dog', [417, 684, 466, 718])]",,,,
47,dog,"[(3, 'sheep', [417, 684, 465, 717])]",,,,0
48,dog,"[(3, 'sheep', [417, 684, 465, 717]), (2, 'dog', [583, 716, 662, 759])]",169.0562036720333,169.0562036720333,169.0562036720333,0
49,dog,"[(3, 'dog', [418, 683, 464, 716]), (2, 'dog', [589, 716, 670, 761])]",,,,
50,dog,"[(3, 'sheep', [419, 682, 464, 715]), (2, 'dog', [590, 717, 676, 762])]",174.54512310574592,174.54512310574592,174.54512310574592,0
51,dog,"[(3, 'dog', [420, 682, 463, 713]), (2, 'dog', [590, 718, 684, 761])]",,,,
52,dog,"[(3, 'dog', [421, 682, 462, 713]), (2, 'dog', [595, 718, 692, 763])]",,,,
53,dog,"[(3, 'dog', [422, 682, 464, 716]), (2, 'dog', [603, 720, 700, 764])]",,,,
54,dog,"[(3, 'sheep', [423, 682, 461, 711]), (2, 'dog', [614, 720, 708, 764])]",194.74342094150447,194.74342094150447,194.74342094150447,0
55,dog,"[(3, 'sheep', [424, 682, 459, 711]), (2, 'dog', [624, 722, 715, 764])]",203.9607805437114,203.9607805437114,203.9607805437114,0
56,dog,"[(3, 'sheep', [424, 682, 457, 712]), (2, 'dog', [637, 720, 721, 765]), (8, 'sheep', [663, 605, 705, 638])]",117.90250209389112,216.3631207022121,167.13281139805162,254.93626654518968
57,dog,"[(3, 'sheep', [424, 682, 455, 711]), (2, 'dog', [643, 720, 728, 766]), (8, 'sheep', [661, 605, 700, 638])]",116.40017182117903,222.27235545609355,169.3362636386363,252.40047543536838
58,dog,"[(3, 'sheep', [424, 682, 453, 710]), (2, 'dog', [647, 719, 734, 765]), (8, 'sheep', [658, 604, 699, 638])]",115.52488909321661,226.0486673263083,170.78677820976247,251.44581921360316
59,dog,"[(3, 'sheep', [423, 681, 451, 710]), (2, 'dog', [654, 718, 741, 765]), (8, 'sheep', [658, 605, 698, 638])]",113.07077429645558,233.94443784796422,173.5076060722099,252.10513679812237
60,dog,"[(3, 'sheep', [422, 681, 449, 718]), (2, 'dog', [660, 718, 750, 764]), (8, 'sheep', [656, 605, 696, 638])]",113.07077429645558,240.85887984460942,176.9648270705325,252.8324544040974
61,dog,"[(3, 'sheep', [422, 680, 446, 714]), (2, 'dog', [669, 717, 758, 763]), (8, 'sheep', [653, 605, 695, 638])]",113.13708498984761,249.75588081164375,181.44648290074568,251.59540933808788
62,dog,"[(3, 'sheep', [422, 679, 443, 709]), (2, 'dog', [676, 719, 766, 764]), (8, 'sheep', [651, 605, 694, 638])]",116.70903992407786,257.13031715455105,186.91967853931445,250.71148757087298
63,dog,"[(2, 'dog', [683, 720, 776, 766]), (8, 'sheep', [649, 605, 692, 639])]",119.9208072020865,119.9208072020865,119.9208072020865,0
64,dog,"[(2, 'dog', [693, 721, 784, 766]), (8, 'sheep', [647, 605, 690, 640])]",124.78781991845197,124.78781991845197,124.78781991845197,0
65,dog,"[(2, 'dog', [703, 722, 794, 767]), (8, 'sheep', [645, 605, 687, 640])]",130.58713566044705,130.58713566044705,130.58713566044705,0
66,dog,"[(2, 'dog', [712, 722, 802, 769]), (8, 'sheep', [642, 605, 685, 640])]",136.34148304899725,136.34148304899725,136.34148304899725,0
67,dog,"[(2, 'dog', [720, 721, 809, 770]), (8, 'sheep', [640, 605, 683, 640]), (3, 'sheep', [411, 679, 431, 708])]",140.91131963046828,311.8413057951111,226.37631271278968,250.76134072061427
68,dog,"[(2, 'dog', [728, 721, 817, 767]), (8, 'sheep', [639, 605, 682, 640]), (3, 'sheep', [409, 680, 428, 707])]",146.2087548678259,321.62400407929755,233.91637947356173,252.20031720836514
69,dog,"[(2, 'dog', [737, 720, 825, 767]), (8, 'sheep', [636, 606, 681, 640])]",152.3056138164316,152.3056138164316,152.3056138164316,0
70,dog,"[(2, 'dog', [744, 719, 833, 768]), (8, 'sheep', [634, 606, 678, 640])]",157.69908052997647,157.69908052997647,157.69908052997647,0
71,dog,"[(2, 'dog', [751, 718, 841, 767]), (8, 'sheep', [633, 605, 676, 640])]",163.3799253274404,163.3799253274404,163.3799253274404,0
72,dog,"[(2, 'dog', [760, 717, 851, 769]), (8, 'sheep', [632, 606, 674, 640])]",169.42549985170473,169.42549985170473,169.42549985170473,0
73,dog,"[(2, 'dog', [769, 719, 861, 770]), (8, 'sheep', [629, 606, 669, 640])]",179.91386828146406,179.91386828146406,179.91386828146406,0
74,dog,"[(2, 'dog', [777, 720, 872, 768]), (8, 'sheep', [627, 606, 669, 641])]",188.403821617291,188.403821617291,188.403821617291,0
75,dog,"[(2, 'dog', [789, 723, 882, 768]), (8, 'sheep', [625, 606, 665, 641])]",201.45719148245863,201.45719148245863,201.45719148245863,0
76,dog,"[(2, 'dog', [800, 725, 891, 768]), (8, 'sheep', [622, 607, 664, 641])]",213.56029593536343,213.56029593536343,213.56029593536343,0
77,dog,"[(2, 'sheep', [810, 726, 900, 772]), (8, 'sheep', [620, 608, 662, 642])]",,,,247.329739416836
78,dog,"[(2, 'sheep', [820, 725, 910, 770]), (8, 'sheep', [618, 608, 661, 642])]",,,,256.62521310268795
79,dog,"[(2, 'sheep', [829, 724, 918, 771]), (8, 'sheep', [616, 609, 659, 642])]",,,,265.6689669494727
80,dog,"[(2, 'dog', [840, 724, 927, 769]), (8, 'sheep', [613, 610, 657, 643])]",254.01771591761076,254.01771591761076,254.01771591761076,0
81,dog,"[(2, 'dog', [850, 722, 937, 769]), (8, 'sheep', [612, 609, 656, 643])]",263.46346995361614,263.46346995361614,263.46346995361614,0
82,dog,"[(2, 'dog', [861, 721, 948, 769]), (8, 'sheep', [610, 609, 654, 643])]",274.85450696686786,274.85450696686786,274.85450696686786,0
83,dog,"[(2, 'sheep', [871, 722, 958, 770]), (8, 'sheep', [609, 609, 651, 644])]",,,,308.5781910634645
84,dog,"[(2, 'dog', [883, 724, 968, 772]), (8, 'sheep', [607, 608, 649, 645])]",299.38603841862766,299.38603841862766,299.38603841862766,0
85,dog,"[(2, 'dog', [893, 727, 979, 773]), (8, 'sheep', [605, 608, 649, 646])]",311.6167517961767,311.6167517961767,311.6167517961767,0
86,dog,"[(2, 'dog', [901, 729, 987, 773]), (8, 'sheep', [603, 609, 646, 646])]",321.2537937519182,321.2537937519182,321.2537937519182,0
87,dog,"[(2, 'dog', [914, 730, 994, 774]), (8, 'sheep', [600, 610, 644, 647])]",336.1487765856065,336.1487765856065,336.1487765856065,0
88,dog,"[(2, 'dog', [925, 730, 999, 774]), (8, 'sheep', [598, 611, 641, 647])]",347.97988447610015,347.97988447610015,347.97988447610015,0
89,dog,"[(2, 'sheep', [936, 729, 1006, 773]), (8, 'sheep', [596, 612, 638, 647])]",,,,374.2702900311485
90,dog,"[(2, 'dog', [943, 727, 1013, 771]), (8, 'sheep', [595, 612, 637, 646])]",366.5092086155544,366.5092086155544,366.5092086155544,0
91,dog,"[(2, 'sheep', [951, 726, 1020, 771]), (8, 'sheep', [593, 613, 635, 646])]",,,,390.0938989525471
