frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,dog,"[(3, 'sheep', [1345, 504, 1431, 607]), (4, 'sheep', [1237, 508, 1345, 609]), (14, 'sheep', [1126, 519, 1247, 603])]",,,,201.57504805902937
1,dog,"[(3, 'sheep', [1346, 504, 1432, 607]), (4, 'sheep', [1238, 508, 1344, 610]), (14, 'sheep', [1122, 518, 1245, 603])]",,,,205.56081825094975
2,dog,"[(3, 'sheep', [1345, 505, 1433, 607]), (4, 'sheep', [1238, 508, 1345, 610]), (14, 'sheep', [1117, 517, 1243, 606])]",,,,209.07235589623033
3,dog,"[(3, 'sheep', [1345, 503, 1434, 608]), (4, 'sheep', [1235, 508, 1346, 609]), (14, 'sheep', [1114, 516, 1248, 605])]",,,,208.55994342154966
4,dog,"[(3, 'sheep', [1345, 503, 1435, 608]), (4, 'sheep', [1240, 509, 1348, 611]), (14, 'sheep', [1110, 516, 1248, 604])]",,,,211.04798032674938
5,dog,"[(3, 'sheep', [1346, 504, 1437, 607]), (4, 'sheep', [1238, 509, 1350, 611]), (14, 'sheep', [1110, 514, 1248, 606])]",,,,212.54764171827455
6,dog,"[(3, 'sheep', [1345, 505, 1438, 608]), (4, 'sheep', [1235, 508, 1356, 610]), (14, 'sheep', [1108, 511, 1251, 605])]",,,,212.00530653736004
7,dog,"[(3, 'sheep', [1344, 503, 1439, 609]), (4, 'sheep', [1237, 507, 1356, 611]), (14, 'sheep', [1118, 511, 1251, 608])]",,,,207.0295872574739
8,dog,"[(3, 'sheep', [1344, 500, 1440, 608]), (4, 'sheep', [1235, 509, 1348, 612]), (14, 'sheep', [1113, 514, 1247, 608])]",,,,212.11553455605272
9,dog,"[(3, 'sheep', [1345, 502, 1442, 608]), (4, 'sheep', [1233, 508, 1347, 612]), (14, 'sheep', [1109, 514, 1245, 609])]",,,,216.5975530794381
10,dog,"[(3, 'sheep', [1345, 505, 1445, 609]), (4, 'sheep', [1232, 510, 1347, 612]), (14, 'sheep', [1101, 516, 1243, 610])]",,,,223.0807028857494
