frame,shepherd,frame_bboxes,min_distance,max_distance,avg_distance,furthest_sheep_distance
0,dog,"[(3, 'dog', [1101, 446, 1143, 489])]",,,,
1,dog,"[(3, 'dog', [1103, 445, 1150, 488])]",,,,
2,dog,"[(3, 'dog', [1109, 444, 1156, 487])]",,,,
3,dog,"[(3, 'dog', [1116, 444, 1164, 482])]",,,,
4,dog,"[(3, 'dog', [1125, 446, 1171, 480])]",,,,
5,dog,"[(3, 'dog', [1133, 448, 1180, 480])]",,,,
6,dog,"[(3, 'dog', [1139, 450, 1188, 483])]",,,,
7,dog,"[(3, 'dog', [1144, 453, 1196, 484])]",,,,
8,dog,"[(3, 'dog', [1153, 455, 1202, 484])]",,,,
9,dog,"[(3, 'dog', [1161, 455, 1209, 485])]",,,,
10,dog,"[(3, 'dog', [1169, 455, 1219, 485])]",,,,
11,dog,"[(3, 'dog', [1177, 455, 1226, 485])]",,,,
12,dog,"[(3, 'dog', [1183, 453, 1233, 485])]",,,,
13,dog,"[(3, 'dog', [1187, 452, 1241, 486])]",,,,
14,dog,"[(3, 'dog', [1193, 454, 1247, 487])]",,,,
15,dog,"[(3, 'dog', [1199, 454, 1255, 487])]",,,,
16,dog,"[(3, 'dog', [1206, 457, 1260, 489])]",,,,
17,dog,"[(3, 'dog', [1211, 459, 1266, 491])]",,,,
18,dog,"[(3, 'dog', [1218, 459, 1272, 492])]",,,,
19,dog,[],,,,
20,dog,"[(13, 'sheep', [516, 403, 573, 451]), (3, 'dog', [1229, 459, 1282, 494])]",715.1957773924564,715.1957773924564,715.1957773924564,0
21,dog,"[(13, 'sheep', [512, 405, 571, 451]), (3, 'dog', [1234, 458, 1287, 495])]",723.9426772887477,723.9426772887477,723.9426772887477,0
22,dog,"[(13, 'sheep', [508, 405, 569, 451]), (3, 'dog', [1237, 458, 1291, 493])]",730.9240726641858,730.9240726641858,730.9240726641858,0
23,dog,"[(13, 'sheep', [507, 407, 568, 451]), (3, 'dog', [1238, 459, 1295, 492])]",732.8471873453565,732.8471873453565,732.8471873453565,0
24,dog,"[(13, 'sheep', [507, 407, 567, 452]), (3, 'dog', [1245, 461, 1300, 490])]",739.9729724794007,739.9729724794007,739.9729724794007,0
25,dog,"[(13, 'sheep', [505, 408, 566, 452]), (3, 'dog', [1251, 463, 1304, 491])]",748.0247322114424,748.0247322114424,748.0247322114424,0
26,dog,"[(13, 'sheep', [506, 408, 565, 452]), (3, 'dog', [1255, 464, 1307, 492])]",751.0905404809729,751.0905404809729,751.0905404809729,0
27,dog,"[(13, 'sheep', [506, 408, 562, 452])]",,,,0
28,dog,"[(13, 'sheep', [507, 405, 560, 453])]",,,,0
29,dog,"[(13, 'sheep', [506, 405, 559, 453])]",,,,0
30,dog,"[(13, 'sheep', [504, 406, 557, 453])]",,,,0
31,dog,"[(13, 'sheep', [503, 408, 555, 453])]",,,,0
32,dog,"[(13, 'sheep', [507, 409, 554, 453])]",,,,0
33,dog,"[(13, 'sheep', [497, 408, 552, 454])]",,,,0
34,dog,"[(13, 'sheep', [495, 408, 550, 454])]",,,,0
35,dog,"[(13, 'sheep', [492, 406, 550, 453])]",,,,0
36,dog,"[(13, 'sheep', [489, 407, 548, 454])]",,,,0
37,dog,"[(13, 'sheep', [487, 407, 546, 454])]",,,,0
38,dog,"[(13, 'sheep', [485, 408, 545, 454])]",,,,0
39,dog,"[(13, 'sheep', [485, 409, 544, 454])]",,,,0
40,dog,"[(13, 'sheep', [491, 409, 543, 454])]",,,,0
41,dog,"[(13, 'sheep', [500, 406, 542, 453])]",,,,0
42,dog,"[(13, 'sheep', [503, 406, 542, 453])]",,,,0
43,dog,"[(13, 'sheep', [485, 407, 541, 454])]",,,,0
44,dog,"[(13, 'sheep', [481, 408, 539, 453])]",,,,0
45,dog,"[(13, 'sheep', [484, 406, 538, 453])]",,,,0
46,dog,"[(13, 'sheep', [483, 405, 537, 453])]",,,,0
47,dog,"[(13, 'sheep', [485, 407, 535, 453]), (19, 'dog', [1203, 462, 1249, 495])]",720.1034647882205,720.1034647882205,720.1034647882205,0
48,dog,"[(13, 'sheep', [484, 407, 534, 453]), (19, 'dog', [1199, 460, 1243, 496])]",716.9616447202737,716.9616447202737,716.9616447202737,0
49,dog,"[(13, 'sheep', [476, 409, 533, 454]), (19, 'dog', [1194, 458, 1236, 494])]",719.6700632928954,719.6700632928954,719.6700632928954,0
50,dog,"[(13, 'sheep', [474, 409, 531, 453]), (19, 'dog', [1189, 456, 1229, 495])]",716.5430901208942,716.5430901208942,716.5430901208942,0
51,dog,"[(13, 'sheep', [471, 409, 528, 454]), (19, 'dog', [1183, 455, 1221, 496])]",713.4844076782617,713.4844076782617,713.4844076782617,0
52,dog,"[(13, 'sheep', [470, 409, 525, 454]), (19, 'dog', [1175, 456, 1215, 488])]",706.5649297835267,706.5649297835267,706.5649297835267,0
53,dog,"[(13, 'sheep', [469, 409, 527, 454]), (19, 'dog', [1170, 457, 1209, 486])]",702.6414448351306,702.6414448351306,702.6414448351306,0
54,dog,"[(13, 'sheep', [472, 407, 528, 453]), (19, 'dog', [1165, 458, 1205, 485])]",694.8740893140282,694.8740893140282,694.8740893140282,0
55,dog,"[(13, 'sheep', [471, 408, 522, 453]), (19, 'dog', [1159, 457, 1198, 480])]",689.7427056518974,689.7427056518974,689.7427056518974,0
56,dog,"[(13, 'sheep', [470, 409, 521, 453]), (19, 'dog', [1155, 456, 1190, 485])]",686.610515503513,686.610515503513,686.610515503513,0
57,dog,"[(13, 'sheep', [470, 410, 524, 453]), (19, 'dog', [1151, 455, 1182, 485])]",682.485164673929,682.485164673929,682.485164673929,0
58,dog,"[(13, 'sheep', [469, 410, 524, 453]), (19, 'dog', [1147, 453, 1177, 486]), (23, 'sheep', [441, 407, 476, 447])]",679.3622008913949,707.4969964600557,693.4295986757253,38.265519727294965
59,dog,"[(13, 'sheep', [469, 409, 525, 453]), (19, 'dog', [1141, 449, 1172, 484]), (23, 'sheep', [441, 407, 477, 447])]",673.1894235651656,701.2588680366189,687.2241458008923,38.2099463490856
60,dog,"[(13, 'sheep', [468, 409, 525, 453]), (19, 'dog', [1135, 447, 1168, 485]), (23, 'sheep', [441, 408, 477, 447])]",668.0815818446127,695.0949575417736,681.5882696931932,37.662979170532964
61,dog,"[(13, 'sheep', [467, 409, 526, 453]), (19, 'dog', [1131, 447, 1162, 485]), (23, 'sheep', [441, 408, 477, 447])]",665.0864605447927,691.1012950356843,678.0938777902385,37.662979170532964
62,dog,"[(13, 'sheep', [467, 409, 526, 453]), (19, 'dog', [1125, 447, 1159, 483]), (23, 'sheep', [441, 408, 477, 447])]",659.096351074712,685.1109399214116,672.1036454980617,37.662979170532964
63,dog,"[(13, 'sheep', [467, 409, 526, 453]), (19, 'dog', [1120, 448, 1155, 481]), (23, 'sheep', [441, 407, 476, 447])]",654.1635881031594,680.2367235014588,667.2001558023092,38.2099463490856
64,dog,"[(13, 'sheep', [469, 410, 526, 453]), (19, 'dog', [1115, 448, 1150, 480]), (23, 'sheep', [441, 407, 476, 447])]",647.1166819052032,675.2458811425657,661.1812815238845,39.2587569849072
65,dog,"[(13, 'sheep', [469, 410, 527, 453]), (19, 'dog', [1111, 448, 1142, 478]), (23, 'sheep', [441, 407, 477, 446])]",643.1236273066012,671.2533053922342,657.1884663494177,39.319206502675
66,dog,"[(13, 'sheep', [470, 410, 526, 453]), (19, 'dog', [1107, 448, 1135, 479]), (23, 'sheep', [442, 407, 477, 446])]",638.1324313964931,666.2627109481665,652.1975711723298,38.82331773560833
67,dog,"[(13, 'sheep', [471, 410, 525, 453]), (19, 'dog', [1103, 447, 1129, 477]), (23, 'sheep', [442, 407, 478, 447])]",633.0821431694311,662.2091814525076,647.6456623109693,38.265519727294965
68,dog,"[(13, 'sheep', [475, 409, 527, 453]), (19, 'dog', [1098, 446, 1124, 476]), (23, 'sheep', [442, 407, 478, 448])]",624.0977487541514,657.1582762166204,640.6280124853859,41.14911906711977
69,dog,"[(13, 'sheep', [474, 409, 528, 453]), (19, 'dog', [1092, 443, 1120, 474]), (23, 'sheep', [442, 407, 478, 448])]",618.9345684319143,650.9961597428974,634.9653640874058,41.14911906711977
70,dog,"[(13, 'sheep', [470, 409, 530, 453]), (19, 'dog', [1088, 441, 1116, 474]), (23, 'sheep', [443, 407, 480, 448])]",618.827924386093,645.8955023840931,632.361713385093,38.658763560155414
71,dog,"[(13, 'sheep', [471, 412, 528, 453]), (19, 'dog', [1083, 441, 1113, 473]), (23, 'sheep', [445, 407, 481, 449])]",612.6867062373722,638.9053137985316,625.7960100179519,36.776351096866584
72,dog,"[(13, 'sheep', [472, 410, 527, 454]), (19, 'dog', [1077, 441, 1109, 471]), (23, 'sheep', [446, 407, 482, 449])]",605.793694255726,631.9153424312469,618.8545183434865,35.7246413557925
73,dog,"[(13, 'sheep', [473, 410, 530, 454]), (19, 'dog', [1071, 441, 1105, 472]), (23, 'sheep', [447, 408, 481, 450])]",598.8029726045121,624.871986890115,611.8374797473135,37.61980861195336
74,dog,"[(13, 'sheep', [473, 411, 532, 453]), (19, 'dog', [1067, 443, 1099, 470]), (23, 'sheep', [447, 408, 483, 449])]",594.8613283783036,620.987117418711,607.9242228985073,37.662979170532964
75,dog,"[(13, 'sheep', [473, 410, 534, 454]), (19, 'dog', [1062, 443, 1092, 468]), (23, 'sheep', [448, 408, 482, 449])]",589.9237238830118,614.9967479588815,602.4602359209466,38.658763560155414
76,dog,"[(13, 'sheep', [483, 408, 535, 455]), (19, 'sheep', [1056, 442, 1087, 469]), (23, 'sheep', [449, 408, 483, 451])]",,,,606.0579592745236
77,dog,"[(13, 'sheep', [482, 409, 536, 455]), (23, 'sheep', [450, 409, 484, 452])]",,,,42.0267771783657
78,dog,"[(13, 'sheep', [480, 410, 538, 455]), (23, 'sheep', [452, 410, 485, 451])]",,,,40.549352645880795
79,dog,"[(13, 'sheep', [482, 409, 538, 455]), (23, 'sheep', [453, 409, 486, 452])]",,,,40.527768258318886
80,dog,"[(13, 'sheep', [480, 408, 539, 456]), (23, 'sheep', [453, 409, 487, 453])]",,,,39.51265620026069
81,dog,"[(13, 'sheep', [479, 410, 541, 456]), (23, 'sheep', [455, 410, 488, 453])]",,,,38.52920969861697
82,dog,"[(13, 'sheep', [481, 409, 541, 457]), (23, 'sheep', [457, 410, 488, 454])]",,,,38.51298482330343
83,dog,"[(13, 'sheep', [468, 409, 542, 458]), (23, 'sheep', [458, 411, 488, 455])]",,,,32.00390601161052
84,dog,"[(13, 'sheep', [481, 411, 543, 458]), (23, 'sheep', [459, 411, 490, 454])]",,,,37.5532954612508
85,dog,"[(13, 'sheep', [491, 410, 544, 458]), (23, 'sheep', [461, 412, 493, 455])]",,,,40.50308630215727
86,dog,"[(13, 'sheep', [494, 411, 546, 458]), (23, 'sheep', [462, 412, 494, 454])]",,,,42.0267771783657
87,dog,"[(13, 'sheep', [493, 409, 547, 458]), (23, 'sheep', [464, 411, 495, 455])]",,,,40.50308630215727
88,dog,"[(13, 'sheep', [490, 411, 547, 458]), (23, 'sheep', [465, 412, 496, 454])]",,,,38.029593739612835
89,dog,"[(13, 'sheep', [505, 412, 550, 458]), (23, 'sheep', [466, 413, 502, 455])]",,,,43.51149273467873
90,dog,"[(13, 'sheep', [497, 412, 549, 458]), (23, 'sheep', [467, 413, 501, 456])]",,,,39.003204996512785
91,dog,"[(13, 'sheep', [493, 412, 551, 459]), (23, 'sheep', [469, 414, 502, 456])]",,,,36.50342449688796
92,dog,"[(13, 'sheep', [494, 415, 552, 460]), (23, 'sheep', [470, 414, 502, 457])]",,,,37.05401462729781
93,dog,"[(13, 'sheep', [497, 415, 553, 461]), (23, 'sheep', [472, 415, 503, 457])]",,,,37.5532954612508
94,dog,"[(13, 'sheep', [497, 415, 555, 461]), (23, 'sheep', [473, 416, 505, 458])]",,,,37.013511046643494
95,dog,"[(13, 'sheep', [497, 421, 554, 462]), (23, 'sheep', [474, 416, 505, 460])]",,,,36.16973873281365
96,dog,"[(13, 'sheep', [509, 418, 556, 463]), (23, 'sheep', [475, 417, 507, 460])]",,,,41.548164821084455
97,dog,"[(13, 'sheep', [517, 418, 558, 464]), (23, 'sheep', [476, 417, 507, 460])]",,,,46.06788469204984
98,dog,"[(13, 'sheep', [518, 418, 559, 465]), (23, 'sheep', [477, 417, 508, 461])]",,,,46.06788469204984
99,dog,"[(13, 'sheep', [521, 417, 561, 466]), (23, 'sheep', [478, 419, 509, 461])]",,,,47.52367830881781
100,dog,"[(13, 'sheep', [522, 417, 562, 467]), (23, 'sheep', [480, 420, 510, 464])]",,,,47.0
101,dog,"[(13, 'sheep', [521, 419, 563, 468]), (23, 'sheep', [480, 420, 511, 464])]",,,,46.52418725781247
102,dog,"[(13, 'sheep', [524, 419, 565, 468]), (23, 'sheep', [481, 421, 512, 465])]",,,,48.00260409602796
103,dog,"[(13, 'sheep', [523, 421, 565, 469]), (23, 'sheep', [483, 422, 513, 467])]",,,,46.00271731104588
104,dog,"[(13, 'sheep', [514, 423, 566, 470]), (23, 'sheep', [484, 422, 515, 466])]",,,,40.577087130546964
105,dog,"[(13, 'sheep', [510, 425, 567, 470]), (23, 'sheep', [485, 424, 515, 467])]",,,,38.55191305240247
106,dog,"[(13, 'sheep', [512, 426, 567, 471]), (23, 'sheep', [487, 425, 516, 469])]",,,,38.029593739612835
107,dog,"[(13, 'sheep', [509, 428, 568, 473]), (23, 'sheep', [488, 426, 517, 468])]",,,,36.16973873281365
108,dog,"[(13, 'sheep', [511, 430, 568, 474]), (23, 'sheep', [489, 427, 518, 469])]",,,,36.22154055254967
109,dog,"[(13, 'sheep', [516, 428, 570, 474]), (23, 'sheep', [490, 428, 520, 471])]",,,,38.029593739612835
110,dog,"[(13, 'sheep', [513, 430, 570, 475]), (23, 'sheep', [491, 429, 521, 472])]",,,,35.556293395122054
111,dog,"[(13, 'sheep', [519, 431, 571, 477]), (23, 'sheep', [493, 429, 522, 473])]",,,,37.61980861195336
112,dog,"[(13, 'sheep', [527, 431, 573, 478]), (23, 'sheep', [494, 431, 525, 476])]",,,,40.512343797909296
113,dog,"[(13, 'sheep', [522, 432, 574, 480]), (23, 'sheep', [495, 432, 526, 477])]",,,,37.52998800959041
114,dog,"[(13, 'sheep', [519, 433, 575, 480]), (23, 'sheep', [495, 434, 527, 478])]",,,,36.003472054789384
115,dog,"[(13, 'sheep', [522, 436, 577, 482]), (23, 'sheep', [496, 435, 527, 479])]",,,,38.05259518088089
116,dog,"[(13, 'sheep', [520, 436, 578, 482]), (23, 'sheep', [497, 436, 527, 480])]",,,,37.013511046643494
117,dog,"[(13, 'sheep', [518, 439, 578, 483]), (23, 'sheep', [498, 438, 527, 480])]",,,,35.556293395122054
118,dog,"[(13, 'sheep', [519, 440, 578, 484]), (23, 'sheep', [499, 439, 528, 481])]",,,,35.05709628591621
119,dog,"[(13, 'sheep', [522, 439, 580, 485]), (23, 'sheep', [499, 439, 528, 482])]",,,,37.52998800959041
120,dog,"[(13, 'sheep', [521, 441, 580, 486]), (23, 'sheep', [500, 441, 529, 482])]",,,,36.05551275463989
121,dog,"[(13, 'sheep', [531, 443, 582, 487]), (23, 'sheep', [501, 441, 530, 483])]",,,,41.10960958218893
122,dog,"[(13, 'sheep', [539, 441, 583, 489]), (23, 'sheep', [502, 442, 531, 485])]",,,,44.52527372178637
123,dog,"[(13, 'sheep', [544, 440, 584, 489]), (23, 'sheep', [502, 443, 532, 486])]",,,,47.0
124,dog,"[(13, 'sheep', [542, 441, 584, 490]), (23, 'sheep', [504, 445, 534, 487])]",,,,44.0028408173836
125,dog,"[(13, 'sheep', [546, 443, 586, 491]), (23, 'sheep', [505, 445, 534, 488])]",,,,46.502688094345686
126,dog,"[(13, 'sheep', [543, 442, 587, 492]), (23, 'sheep', [506, 446, 535, 489])]",,,,44.50280890011326
127,dog,"[(13, 'sheep', [533, 446, 588, 493]), (23, 'sheep', [507, 447, 536, 489])]",,,,39.02883549377306
128,dog,"[(13, 'sheep', [518, 445, 586, 493])]",,,,0
129,dog,"[(13, 'sheep', [512, 445, 586, 493])]",,,,0
130,dog,"[(13, 'sheep', [524, 446, 589, 493]), (23, 'sheep', [509, 447, 538, 489])]",,,,33.03407331831786
